# step err_l2 res_l2
0 2.462974e-01 1.000000e+00
1 2.325294e-01 3.327988e-01
2 2.218148e-01 1.990401e-01
3 2.117922e-01 1.414904e-01
4 2.022044e-01 1.093473e-01
5 1.929862e-01 8.875641e-02
6 1.841153e-01 7.438984e-02
7 1.755824e-01 6.376181e-02
8 1.673827e-01 5.555676e-02
9 1.595126e-01 4.901343e-02
10 1.519681e-01 4.366080e-02
11 1.447445e-01 3.919192e-02
12 1.378357e-01 3.539820e-02
13 1.312346e-01 3.213296e-02
14 1.249328e-01 2.929003e-02
15 1.189205e-01 2.679076e-02
16 1.131871e-01 2.458219e-02
17 1.077452e-01 2.313857e-02
18 1.039191e-01 3.512167e-02
19 1.014417e-01 2.199806e-02
20 9.683980e-02 2.293012e-02
21 9.506444e-02 2.541040e-02
22 9.103535e-02 1.833523e-02
23 8.841588e-02 2.702349e-02
24 8.561663e-02 1.664935e-02
25 8.242026e-02 2.317048e-02
26 8.043639e-02 1.583641e-02
27 7.714783e-02 1.950834e-02
28 7.547729e-02 1.512856e-02
29 7.227224e-02 1.686474e-02
30 7.071372e-02 1.431200e-02
31 6.765593e-02 1.505341e-02
32 6.613951e-02 1.333993e-02
33 6.327702e-02 1.399953e-02
34 6.174588e-02 1.206635e-02
35 5.905219e-02 1.325396e-02
36 5.746502e-02 1.079446e-02
37 5.491433e-02 1.263001e-02
38 5.322541e-02 9.840138e-03
39 5.061347e-02 1.297975e-02
40 4.820168e-02 1.163397e-02
41 4.234198e-02 2.254382e-02
42 3.040727e-02 2.509073e-02
43 1.268480e-02 3.108447e-02
44 1.102244e-03 1.015830e-02
45 2.714129e-04 3.817215e-03
46 1.196920e-04 1.449843e-03
47 1.113055e-04 2.377684e-04
48 1.111443e-04 3.720343e-05
49 1.111403e-04 5.851037e-06
50 1.111402e-04 9.189495e-07
51 1.111402e-04 1.578422e-07
52 1.111402e-04 2.765866e-08
53 1.111402e-04 4.926358e-09
