# step err_l2 res_l2
0 2.460291e-01 1.000000e+00
1 1.990368e-01 2.563698e-01
2 1.647126e-01 1.309108e-01
3 1.367756e-01 8.377813e-02
4 1.138766e-01 6.219703e-02
5 9.469504e-02 4.806237e-02
6 7.829209e-02 3.519160e-02
7 6.396392e-02 2.610189e-02
8 4.966866e-02 2.441571e-02
9 2.673889e-02 3.085160e-02
10 3.127884e-03 1.500550e-02
11 5.168380e-04 2.424374e-03
12 4.622849e-04 3.469848e-04
13 4.497176e-04 1.547072e-04
14 4.471044e-04 6.513197e-05
15 4.447746e-04 4.882643e-05
16 4.424237e-04 2.584600e-05
17 4.403228e-04 1.989712e-05
18 4.373927e-04 1.698573e-05
19 4.340953e-04 1.017349e-05
20 4.334610e-04 7.463005e-06
21 4.350257e-04 1.111853e-05
22 4.409464e-04 7.603771e-06
23 4.417971e-04 1.249572e-06
24 4.417975e-04 3.348938e-07
25 4.417612e-04 2.010520e-07
26 4.417448e-04 7.133515e-08
27 4.417431e-04 5.024536e-08
28 4.417432e-04 1.873450e-08
29 4.417430e-04 8.065437e-09
