# step err_l2 res_l2
0 2.462974e-01 1.000000e+00
1 2.349674e-01 7.393976e-01
2 2.273224e-01 3.096520e-01
3 2.226467e-01 2.185976e-01
4 2.188927e-01 1.765231e-01
5 2.156476e-01 1.494371e-01
6 2.127578e-01 1.302582e-01
7 2.101339e-01 1.159438e-01
8 2.077184e-01 1.047993e-01
9 2.054718e-01 9.584135e-02
10 2.033659e-01 8.846202e-02
11 2.013794e-01 8.226299e-02
12 1.994961e-01 7.697166e-02
13 1.977031e-01 7.239474e-02
14 1.959899e-01 6.839110e-02
15 1.943479e-01 6.485511e-02
16 1.927701e-01 6.170607e-02
17 1.912504e-01 5.888114e-02
18 1.897836e-01 5.633067e-02
19 1.883655e-01 5.401482e-02
20 1.869921e-01 5.190125e-02
21 1.856600e-01 4.996344e-02
22 1.843664e-01 4.817938e-02
23 1.831086e-01 4.653067e-02
24 1.818842e-01 4.500177e-02
25 1.806913e-01 4.357951e-02
26 1.795277e-01 4.225261e-02
27 1.783920e-01 4.101133e-02
28 1.772825e-01 3.984729e-02
29 1.761978e-01 3.875316e-02
30 1.751366e-01 3.772252e-02
31 1.740978e-01 3.674976e-02
32 1.730802e-01 3.582990e-02
33 1.720829e-01 3.495854e-02
34 1.711050e-01 3.413176e-02
35 1.701455e-01 3.334607e-02
36 1.692037e-01 3.259832e-02
37 1.682788e-01 3.188571e-02
38 1.673702e-01 3.120569e-02
39 1.664772e-01 3.055597e-02
40 1.655992e-01 2.993448e-02
41 1.647356e-01 2.933932e-02
42 1.638859e-01 2.876878e-02
43 1.630496e-01 2.822128e-02
44 1.622262e-01 2.769539e-02
45 1.614153e-01 2.718979e-02
46 1.606165e-01 2.670327e-02
47 1.598293e-01 2.623472e-02
48 1.590534e-01 2.578311e-02
49 1.582884e-01 2.534749e-02
50 1.575341e-01 2.492699e-02
51 1.567899e-01 2.452080e-02
52 1.560558e-01 2.412816e-02
53 1.553312e-01 2.374837e-02
54 1.546161e-01 2.338078e-02
55 1.539101e-01 2.302478e-02
56 1.532130e-01 2.267980e-02
57 1.525245e-01 2.234532e-02
58 1.518444e-01 2.202084e-02
59 1.511724e-01 2.170590e-02
60 1.505085e-01 2.140005e-02
61 1.498522e-01 2.110290e-02
62 1.492036e-01 2.081406e-02
63 1.485623e-01 2.053316e-02
64 1.479282e-01 2.025987e-02
65 1.473011e-01 1.999387e-02
66 1.466809e-01 1.973485e-02
67 1.460674e-01 1.948254e-02
68 1.454604e-01 1.923665e-02
69 1.448598e-01 1.899695e-02
70 1.442655e-01 1.876317e-02
71 1.436773e-01 1.853510e-02
72 1.430950e-01 1.831252e-02
73 1.425186e-01 1.809523e-02
74 1.419479e-01 1.788302e-02
75 1.413829e-01 1.767572e-02
76 1.408233e-01 1.747314e-02
77 1.402691e-01 1.727512e-02
78 1.397202e-01 1.708150e-02
79 1.391764e-01 1.689213e-02
