# step err_l2 res_l2
0 2.449623e-01 1.000000e+00
1 1.637414e-01 2.158254e-01
2 1.333116e-01 1.157457e-01
3 1.135134e-01 7.842574e-02
4 9.865724e-02 5.855388e-02
5 8.669573e-02 4.642356e-02
6 7.665190e-02 3.841622e-02
7 6.800341e-02 3.273820e-02
8 6.044706e-02 2.842361e-02
9 5.379057e-02 2.495142e-02
10 4.790018e-02 2.204098e-02
11 4.267482e-02 1.953759e-02
12 3.803320e-02 1.735128e-02
13 3.390718e-02 1.542541e-02
14 3.023812e-02 1.372086e-02
15 2.697487e-02 1.220831e-02
16 2.407238e-02 1.086424e-02
17 2.149084e-02 9.668980e-03
18 1.919494e-02 8.605628e-03
19 1.715335e-02 7.659415e-03
20 1.533825e-02 6.817336e-03
21 1.372490e-02 6.067883e-03
22 1.229131e-02 5.400844e-03
23 1.101795e-02 4.807143e-03
24 9.887446e-03 4.278713e-03
25 8.884362e-03 3.808373e-03
26 7.994970e-03 3.389738e-03
27 7.207064e-03 3.017122e-03
28 6.509783e-03 2.685467e-03
29 5.893465e-03 2.390268e-03
30 5.349497e-03 2.127520e-03
31 4.870196e-03 1.893654e-03
32 4.448695e-03 1.685495e-03
33 4.078838e-03 1.500218e-03
34 3.755096e-03 1.335308e-03
35 3.472480e-03 1.188525e-03
36 3.226479e-03 1.057878e-03
37 3.012998e-03 9.415913e-04
38 2.828312e-03 8.380876e-04
39 2.669032e-03 7.459615e-04
40 2.532071e-03 6.639623e-04
41 2.414629e-03 5.909768e-04
42 2.314176e-03 5.260141e-04
43 2.228436e-03 4.681925e-04
44 2.155380e-03 4.167268e-04
45 2.093207e-03 3.709184e-04
46 2.040337e-03 3.301455e-04
47 1.995391e-03 2.938546e-04
48 1.957175e-03 2.615528e-04
49 1.924663e-03 2.328019e-04
50 1.896977e-03 2.072113e-04
51 1.873371e-03 1.844338e-04
52 1.853212e-03 1.641600e-04
53 1.835966e-03 1.461149e-04
54 1.821186e-03 1.300533e-04
55 1.808491e-03 1.157573e-04
56 1.797566e-03 1.030328e-04
57 1.788143e-03 9.170699e-05
58 1.779998e-03 8.162618e-05
59 1.772944e-03 7.265349e-05
60 1.766821e-03 6.466711e-05
61 1.761496e-03 5.755863e-05
62 1.756857e-03 5.123155e-05
63 1.752807e-03 4.559996e-05
64 1.749266e-03 4.058742e-05
65 1.746166e-03 3.612588e-05
66 1.743446e-03 3.215478e-05
67 1.741058e-03 2.862019e-05
68 1.738958e-03 2.547414e-05
69 1.737109e-03 2.267391e-05
70 1.735479e-03 2.018150e-05
71 1.734041e-03 1.796307e-05
72 1.732772e-03 1.598849e-05
73 1.731650e-03 1.423097e-05
74 1.730658e-03 1.266664e-05
75 1.729781e-03 1.127427e-05
76 1.729003e-03 1.003496e-05
77 1.728315e-03 8.931873e-06
78 1.727704e-03 7.950044e-06
79 1.727163e-03 7.076142e-06
80 1.726683e-03 6.298303e-06
81 1.726257e-03 5.605967e-06
82 1.725879e-03 4.989736e-06
83 1.725543e-03 4.441243e-06
84 1.725244e-03 3.953043e-06
85 1.724979e-03 3.518508e-06
86 1.724744e-03 3.131739e-06
87 1.724535e-03 2.787485e-06
88 1.724349e-03 2.481073e-06
89 1.724183e-03 2.208343e-06
90 1.724036e-03 1.965593e-06
91 1.723905e-03 1.749527e-06
92 1.723789e-03 1.557211e-06
93 1.723686e-03 1.386036e-06
94 1.723594e-03 1.233677e-06
95 1.723512e-03 1.098066e-06
96 1.723439e-03 9.773623e-07
97 1.723374e-03 8.699265e-07
98 1.723317e-03 7.743006e-07
99 1.723265e-03 6.891862e-07
100 1.723220e-03 6.134280e-07
101 1.723179e-03 5.459974e-07
102 1.723143e-03 4.859791e-07
103 1.723111e-03 4.325582e-07
104 1.723082e-03 3.850096e-07
105 1.723057e-03 3.426878e-07
106 1.723034e-03 3.050181e-07
107 1.723014e-03 2.714892e-07
108 1.722996e-03 2.416460e-07
109 1.722980e-03 2.150833e-07
110 1.722966e-03 1.914404e-07
111 1.722953e-03 1.703965e-07
112 1.722942e-03 1.516658e-07
113 1.722932e-03 1.349940e-07
114 1.722923e-03 1.201549e-07
115 1.722915e-03 1.069470e-07
116 1.722908e-03 9.519094e-08
117 1.722902e-03 8.472716e-08
118 1.722896e-03 7.541359e-08
119 1.722891e-03 6.712382e-08
120 1.722887e-03 5.974529e-08
121 1.722883e-03 5.317783e-08
122 1.722879e-03 4.733230e-08
123 1.722876e-03 4.212934e-08
124 1.722873e-03 3.749831e-08
125 1.722871e-03 3.337634e-08
126 1.722869e-03 2.970747e-08
127 1.722867e-03 2.644190e-08
128 1.722865e-03 2.353530e-08
129 1.722863e-03 2.094820e-08
130 1.722862e-03 1.864548e-08
131 1.722861e-03 1.659589e-08
132 1.722860e-03 1.477160e-08
133 1.722859e-03 1.314785e-08
134 1.722858e-03 1.170258e-08
135 1.722857e-03 1.041619e-08
136 1.722856e-03 9.271194e-09
