# step err_l2 res_l2
0 2.463645e-01 1.000000e+00
1 2.393981e-01 3.331995e-01
2 2.338974e-01 1.997593e-01
3 2.286671e-01 1.425136e-01
4 2.235750e-01 1.106662e-01
5 2.185857e-01 9.036385e-02
6 2.136867e-01 7.627826e-02
7 2.088723e-01 6.592301e-02
8 2.041403e-01 5.798176e-02
9 1.994894e-01 5.169249e-02
10 1.949194e-01 4.658346e-02
11 1.904300e-01 4.234708e-02
12 1.860213e-01 3.877417e-02
13 1.816934e-01 3.571757e-02
14 1.774465e-01 3.307075e-02
15 1.732805e-01 3.075481e-02
16 1.691959e-01 2.872353e-02
17 1.652252e-01 2.802409e-02
18 1.628126e-01 4.409815e-02
19 1.604973e-01 2.606348e-02
20 1.569650e-01 2.987535e-02
21 1.556096e-01 3.014343e-02
22 1.522834e-01 2.375302e-02
23 1.503736e-01 3.432194e-02
24 1.478389e-01 2.179108e-02
25 1.453878e-01 3.190849e-02
26 1.434991e-01 2.092463e-02
27 1.408104e-01 2.793287e-02
28 1.392496e-01 2.042940e-02
29 1.365311e-01 2.487087e-02
30 1.351053e-01 1.988519e-02
31 1.324682e-01 2.291815e-02
32 1.310861e-01 1.905572e-02
33 1.285812e-01 2.172233e-02
34 1.271918e-01 1.795456e-02
35 1.248469e-01 2.103185e-02
36 1.234197e-01 1.673898e-02
37 1.212465e-01 2.050709e-02
38 1.197583e-01 1.560061e-02
39 1.177583e-01 1.987883e-02
40 1.161995e-01 1.466774e-02
41 1.143861e-01 1.905345e-02
42 1.127416e-01 1.394350e-02
43 1.111277e-01 1.795927e-02
44 1.093832e-01 1.343337e-02
45 1.079715e-01 1.664189e-02
46 1.061312e-01 1.311968e-02
47 1.048851e-01 1.517008e-02
48 1.029899e-01 1.298496e-02
49 1.018459e-01 1.371475e-02
50 9.996702e-02 1.302472e-02
51 9.885655e-02 1.240469e-02
52 9.708260e-02 1.321921e-02
53 9.592771e-02 1.128652e-02
54 9.433269e-02 1.329812e-02
55 9.306327e-02 1.047650e-02
56 9.167636e-02 1.291138e-02
57 9.027091e-02 1.003559e-02
58 8.907891e-02 1.202568e-02
59 8.756757e-02 9.935554e-03
60 8.651547e-02 1.083792e-02
61 8.497025e-02 1.010956e-02
62 8.396983e-02 9.670418e-03
63 8.248791e-02 1.035242e-02
64 8.144415e-02 8.793449e-03
65 8.011443e-02 1.034496e-02
66 7.895756e-02 8.289498e-03
67 7.781822e-02 9.845964e-03
68 7.653219e-02 8.136336e-03
69 7.554699e-02 8.950449e-03
70 7.419240e-02 8.256507e-03
71 7.326627e-02 7.996997e-03
72 7.195442e-02 8.472044e-03
73 7.098420e-02 7.277965e-03
74 6.981054e-02 8.445843e-03
75 6.872318e-02 6.896808e-03
76 6.771349e-02 7.968212e-03
77 6.651152e-02 6.842606e-03
78 6.561283e-02 7.188423e-03
79 6.437532e-02 7.013531e-03
80 6.349062e-02 6.448839e-03
81 6.232377e-02 7.134552e-03
82 6.135649e-02 5.981945e-03
83 6.033134e-02 6.918125e-03
84 5.923928e-02 5.825546e-03
85 5.834313e-02 6.344140e-03
86 5.716867e-02 5.907003e-03
87 5.631752e-02 5.695490e-03
88 5.516551e-02 6.036241e-03
89 5.425303e-02 5.236073e-03
90 5.321298e-02 5.968976e-03
91 5.215909e-02 5.105274e-03
92 5.120409e-02 5.752412e-03
93 4.990847e-02 5.634408e-03
94 4.874487e-02 6.222666e-03
95 4.660117e-02 8.096672e-03
96 4.382430e-02 9.404625e-03
97 3.785223e-02 1.495042e-02
98 2.698239e-02 1.664356e-02
99 1.506852e-02 1.790264e-02
100 4.374612e-03 1.181285e-02
101 1.266312e-03 6.188100e-03
102 2.929969e-04 3.382829e-03
103 6.441915e-05 1.266172e-03
104 3.515360e-05 5.585663e-04
105 2.875113e-05 2.503250e-04
106 2.793110e-05 8.190889e-05
107 2.784715e-05 3.096190e-05
108 2.783156e-05 1.316201e-05
109 2.782947e-05 4.072423e-06
110 2.782930e-05 1.257650e-06
111 2.782928e-05 4.933577e-07
112 2.782928e-05 1.708294e-07
113 2.782928e-05 4.583044e-08
114 2.782928e-05 1.366581e-08
115 2.782928e-05 5.084346e-09
