# step err_l2 res_l2
0 2.462974e-01 1.000000e+00
1 2.218508e-01 2.608772e-01
2 2.025908e-01 1.376135e-01
3 1.853901e-01 9.228513e-02
4 1.697979e-01 7.267908e-02
5 1.553379e-01 6.040608e-02
6 1.418245e-01 4.813032e-02
7 1.294042e-01 3.860310e-02
8 1.181839e-01 3.382327e-02
9 1.079466e-01 3.014036e-02
10 9.847234e-02 2.515921e-02
11 8.978860e-02 2.109387e-02
12 8.187253e-02 1.917488e-02
13 7.451933e-02 1.715494e-02
14 6.756873e-02 1.436455e-02
15 6.096546e-02 1.252236e-02
16 5.440472e-02 1.216116e-02
17 4.627997e-02 1.355238e-02
18 3.065104e-02 1.812523e-02
19 7.625534e-03 1.563963e-02
20 5.906530e-04 4.864054e-03
21 1.522513e-04 8.472876e-04
22 1.415923e-04 1.729107e-04
23 1.363833e-04 9.259014e-05
24 1.297387e-04 5.449901e-05
25 1.268965e-04 3.885926e-05
26 1.235518e-04 2.881028e-05
27 1.212384e-04 2.227034e-05
28 1.190696e-04 1.643497e-05
29 1.173590e-04 1.576095e-05
30 1.155270e-04 1.062288e-05
31 1.139646e-04 1.028543e-05
32 1.124719e-04 8.019498e-06
33 1.108728e-04 7.288025e-06
34 1.095976e-04 6.000694e-06
35 1.081897e-04 5.110469e-06
36 1.070326e-04 4.721410e-06
37 1.061520e-04 3.158658e-06
38 1.056811e-04 2.723131e-06
39 1.056382e-04 2.961097e-06
40 1.065945e-04 5.208020e-06
41 1.097368e-04 5.440191e-06
42 1.110996e-04 1.543375e-06
43 1.111996e-04 3.546902e-07
44 1.111995e-04 9.591890e-08
45 1.111898e-04 7.858285e-08
46 1.111760e-04 4.621075e-08
47 1.111690e-04 3.728827e-08
48 1.111634e-04 2.905974e-08
49 1.111607e-04 1.711622e-08
50 1.111571e-04 1.841969e-08
51 1.111547e-04 1.132876e-08
52 1.111527e-04 1.086091e-08
53 1.111510e-04 8.532216e-09
