# step err_l2 res_l2
0 2.449623e-01 1.000000e+00
1 2.286537e-01 7.631281e-01
2 2.169268e-01 5.891949e-01
3 2.081831e-01 4.616785e-01
4 2.013917e-01 3.683416e-01
5 1.958976e-01 3.000821e-01
6 1.912860e-01 2.501071e-01
7 1.872926e-01 2.133490e-01
8 1.837468e-01 1.860537e-01
9 1.805361e-01 1.654786e-01
10 1.775849e-01 1.496564e-01
11 1.748408e-01 1.372022e-01
12 1.722665e-01 1.271551e-01
13 1.698349e-01 1.188536e-01
14 1.675256e-01 1.118432e-01
15 1.653228e-01 1.058094e-01
16 1.632142e-01 1.005317e-01
17 1.611899e-01 9.585331e-02
18 1.592416e-01 9.166016e-02
19 1.573627e-01 8.786762e-02
20 1.555473e-01 8.441148e-02
21 1.537906e-01 8.124199e-02
22 1.520882e-01 7.831985e-02
23 1.504364e-01 7.561341e-02
24 1.488319e-01 7.309684e-02
25 1.472718e-01 7.074869e-02
26 1.457533e-01 6.855098e-02
27 1.442741e-01 6.648842e-02
28 1.428321e-01 6.454790e-02
29 1.414252e-01 6.271813e-02
30 1.400517e-01 6.098922e-02
31 1.387099e-01 5.935254e-02
32 1.373983e-01 5.780047e-02
33 1.361154e-01 5.632623e-02
34 1.348600e-01 5.492382e-02
35 1.336309e-01 5.358785e-02
36 1.324268e-01 5.231348e-02
37 1.312468e-01 5.109635e-02
38 1.300899e-01 4.993253e-02
39 1.289551e-01 4.881843e-02
40 1.278416e-01 4.775082e-02
41 1.267485e-01 4.672673e-02
42 1.256752e-01 4.574347e-02
43 1.246207e-01 4.479855e-02
44 1.235846e-01 4.388970e-02
45 1.225661e-01 4.301485e-02
46 1.215646e-01 4.217205e-02
47 1.205795e-01 4.135955e-02
48 1.196104e-01 4.057569e-02
49 1.186565e-01 3.981897e-02
50 1.177176e-01 3.908797e-02
51 1.167930e-01 3.838140e-02
52 1.158824e-01 3.769803e-02
53 1.149852e-01 3.703673e-02
54 1.141012e-01 3.639646e-02
55 1.132299e-01 3.577622e-02
56 1.123709e-01 3.517510e-02
57 1.115238e-01 3.459223e-02
58 1.106884e-01 3.402681e-02
59 1.098643e-01 3.347808e-02
60 1.090512e-01 3.294533e-02
61 1.082487e-01 3.242789e-02
62 1.074566e-01 3.192513e-02
63 1.066747e-01 3.143645e-02
64 1.059026e-01 3.096130e-02
65 1.051400e-01 3.049915e-02
66 1.043869e-01 3.004949e-02
67 1.036428e-01 2.961185e-02
68 1.029076e-01 2.918579e-02
69 1.021810e-01 2.877087e-02
70 1.014629e-01 2.836669e-02
71 1.007531e-01 2.797287e-02
72 1.000512e-01 2.758905e-02
73 9.935727e-02 2.721486e-02
74 9.867096e-02 2.684999e-02
75 9.799215e-02 2.649411e-02
76 9.732066e-02 2.614692e-02
77 9.665633e-02 2.580813e-02
78 9.599899e-02 2.547747e-02
79 9.534850e-02 2.515467e-02
80 9.470471e-02 2.483947e-02
81 9.406747e-02 2.453164e-02
82 9.343665e-02 2.423094e-02
83 9.281210e-02 2.393715e-02
84 9.219371e-02 2.365005e-02
85 9.158134e-02 2.336943e-02
86 9.097488e-02 2.309510e-02
87 9.037420e-02 2.282686e-02
88 8.977920e-02 2.256453e-02
89 8.918976e-02 2.230794e-02
90 8.860577e-02 2.205690e-02
91 8.802714e-02 2.181126e-02
92 8.745377e-02 2.157086e-02
93 8.688554e-02 2.133554e-02
94 8.632238e-02 2.110515e-02
95 8.576419e-02 2.087955e-02
96 8.521088e-02 2.065860e-02
97 8.466237e-02 2.044217e-02
98 8.411858e-02 2.023013e-02
99 8.357941e-02 2.002234e-02
100 8.304480e-02 1.981870e-02
101 8.251466e-02 1.961907e-02
102 8.198893e-02 1.942336e-02
103 8.146754e-02 1.923144e-02
104 8.095040e-02 1.904321e-02
105 8.043746e-02 1.885857e-02
106 7.992865e-02 1.867742e-02
107 7.942391e-02 1.849966e-02
108 7.892317e-02 1.832519e-02
109 7.842637e-02 1.815393e-02
110 7.793345e-02 1.798578e-02
111 7.744437e-02 1.782066e-02
112 7.695905e-02 1.765849e-02
113 7.647745e-02 1.749919e-02
114 7.599952e-02 1.734267e-02
115 7.552520e-02 1.718886e-02
116 7.505445e-02 1.703769e-02
117 7.458721e-02 1.688909e-02
118 7.412344e-02 1.674299e-02
119 7.366309e-02 1.659932e-02
120 7.320612e-02 1.645801e-02
121 7.275248e-02 1.631901e-02
122 7.230213e-02 1.618224e-02
123 7.185503e-02 1.604766e-02
124 7.141115e-02 1.591520e-02
125 7.097043e-02 1.578481e-02
126 7.053284e-02 1.565643e-02
127 7.009835e-02 1.553001e-02
128 6.966691e-02 1.540550e-02
129 6.923849e-02 1.528286e-02
130 6.881306e-02 1.516202e-02
131 6.839058e-02 1.504295e-02
132 6.797102e-02 1.492560e-02
133 6.755435e-02 1.480993e-02
134 6.714053e-02 1.469589e-02
135 6.672953e-02 1.458344e-02
136 6.632133e-02 1.447255e-02
137 6.591588e-02 1.436317e-02
138 6.551318e-02 1.425526e-02
139 6.511317e-02 1.414880e-02
140 6.471584e-02 1.404374e-02
141 6.432117e-02 1.394005e-02
142 6.392911e-02 1.383769e-02
143 6.353965e-02 1.373665e-02
144 6.315277e-02 1.363687e-02
145 6.276843e-02 1.353834e-02
146 6.238661e-02 1.344102e-02
147 6.200729e-02 1.334488e-02
148 6.163044e-02 1.324990e-02
149 6.125604e-02 1.315605e-02
150 6.088407e-02 1.306331e-02
151 6.051451e-02 1.297165e-02
152 6.014733e-02 1.288103e-02
153 5.978251e-02 1.279145e-02
154 5.942003e-02 1.270288e-02
155 5.905987e-02 1.261529e-02
156 5.870202e-02 1.252867e-02
157 5.834644e-02 1.244299e-02
158 5.799312e-02 1.235823e-02
159 5.764204e-02 1.227437e-02
160 5.729319e-02 1.219140e-02
161 5.694653e-02 1.210929e-02
162 5.660207e-02 1.202802e-02
163 5.625977e-02 1.194759e-02
164 5.591962e-02 1.186797e-02
165 5.558160e-02 1.178914e-02
166 5.524569e-02 1.171109e-02
167 5.491188e-02 1.163381e-02
168 5.458015e-02 1.155728e-02
169 5.425049e-02 1.148148e-02
170 5.392288e-02 1.140640e-02
171 5.359729e-02 1.133202e-02
172 5.327373e-02 1.125834e-02
173 5.295216e-02 1.118534e-02
174 5.263258e-02 1.111301e-02
175 5.231497e-02 1.104133e-02
176 5.199932e-02 1.097030e-02
177 5.168561e-02 1.089989e-02
178 5.137383e-02 1.083011e-02
179 5.106395e-02 1.076094e-02
180 5.075598e-02 1.069237e-02
181 5.044989e-02 1.062438e-02
182 5.014567e-02 1.055698e-02
183 4.984331e-02 1.049014e-02
184 4.954280e-02 1.042387e-02
185 4.924411e-02 1.035814e-02
186 4.894725e-02 1.029296e-02
187 4.865218e-02 1.022831e-02
188 4.835891e-02 1.016418e-02
189 4.806742e-02 1.010057e-02
190 4.777770e-02 1.003748e-02
191 4.748973e-02 9.974877e-03
192 4.720351e-02 9.912772e-03
193 4.691901e-02 9.851153e-03
194 4.663624e-02 9.790013e-03
195 4.635517e-02 9.729346e-03
196 4.607580e-02 9.669144e-03
197 4.579811e-02 9.609400e-03
198 4.552210e-02 9.550109e-03
199 4.524774e-02 9.491265e-03
200 4.497504e-02 9.432860e-03
201 4.470398e-02 9.374890e-03
202 4.443455e-02 9.317348e-03
203 4.416673e-02 9.260229e-03
204 4.390052e-02 9.203527e-03
205 4.363591e-02 9.147238e-03
206 4.337288e-02 9.091355e-03
207 4.311143e-02 9.035874e-03
208 4.285154e-02 8.980790e-03
209 4.259321e-02 8.926098e-03
210 4.233643e-02 8.871793e-03
211 4.208118e-02 8.817871e-03
212 4.182745e-02 8.764327e-03
213 4.157525e-02 8.711157e-03
214 4.132454e-02 8.658357e-03
215 4.107533e-02 8.605922e-03
216 4.082761e-02 8.553848e-03
217 4.058137e-02 8.502131e-03
218 4.033659e-02 8.450768e-03
219 4.009328e-02 8.399754e-03
220 3.985141e-02 8.349086e-03
221 3.961098e-02 8.298760e-03
222 3.937198e-02 8.248773e-03
223 3.913440e-02 8.199121e-03
224 3.889824e-02 8.149800e-03
225 3.866348e-02 8.100808e-03
226 3.843012e-02 8.052141e-03
227 3.819814e-02 8.003795e-03
228 3.796754e-02 7.955768e-03
229 3.773831e-02 7.908057e-03
230 3.751045e-02 7.860658e-03
231 3.728393e-02 7.813569e-03
232 3.705876e-02 7.766786e-03
233 3.683492e-02 7.720307e-03
234 3.661241e-02 7.674129e-03
235 3.639122e-02 7.628250e-03
236 3.617135e-02 7.582665e-03
237 3.595277e-02 7.537374e-03
238 3.573549e-02 7.492373e-03
239 3.551950e-02 7.447660e-03
240 3.530478e-02 7.403231e-03
241 3.509134e-02 7.359086e-03
242 3.487916e-02 7.315221e-03
243 3.466824e-02 7.271634e-03
244 3.445857e-02 7.228322e-03
245 3.425014e-02 7.185284e-03
246 3.404294e-02 7.142517e-03
247 3.383696e-02 7.100018e-03
248 3.363221e-02 7.057786e-03
249 3.342866e-02 7.015819e-03
250 3.322632e-02 6.974114e-03
251 3.302517e-02 6.932669e-03
252 3.282522e-02 6.891483e-03
253 3.262644e-02 6.850552e-03
254 3.242884e-02 6.809876e-03
255 3.223241e-02 6.769452e-03
256 3.203714e-02 6.729278e-03
257 3.184302e-02 6.689352e-03
258 3.165005e-02 6.649673e-03
259 3.145822e-02 6.610238e-03
260 3.126752e-02 6.571047e-03
261 3.107795e-02 6.532096e-03
262 3.088949e-02 6.493384e-03
263 3.070215e-02 6.454910e-03
264 3.051591e-02 6.416671e-03
265 3.033078e-02 6.378666e-03
266 3.014673e-02 6.340894e-03
267 2.996378e-02 6.303352e-03
268 2.978190e-02 6.266039e-03
269 2.960109e-02 6.228953e-03
270 2.942136e-02 6.192093e-03
271 2.924268e-02 6.155457e-03
272 2.906506e-02 6.119044e-03
273 2.888848e-02 6.082851e-03
274 2.871294e-02 6.046878e-03
275 2.853845e-02 6.011123e-03
276 2.836498e-02 5.975584e-03
277 2.819253e-02 5.940260e-03
278 2.802110e-02 5.905149e-03
279 2.785068e-02 5.870251e-03
280 2.768126e-02 5.835563e-03
281 2.751285e-02 5.801084e-03
282 2.734542e-02 5.766813e-03
283 2.717899e-02 5.732748e-03
284 2.701353e-02 5.698888e-03
285 2.684905e-02 5.665232e-03
286 2.668554e-02 5.631778e-03
287 2.652300e-02 5.598524e-03
288 2.636141e-02 5.565471e-03
289 2.620077e-02 5.532615e-03
290 2.604108e-02 5.499957e-03
291 2.588233e-02 5.467494e-03
292 2.572452e-02 5.435225e-03
293 2.556763e-02 5.403150e-03
294 2.541167e-02 5.371267e-03
295 2.525663e-02 5.339574e-03
296 2.510251e-02 5.308070e-03
297 2.494929e-02 5.276755e-03
298 2.479697e-02 5.245627e-03
299 2.464555e-02 5.214684e-03
300 2.449503e-02 5.183927e-03
301 2.434539e-02 5.153352e-03
302 2.419663e-02 5.122960e-03
303 2.404874e-02 5.092749e-03
304 2.390173e-02 5.062718e-03
305 2.375559e-02 5.032865e-03
306 2.361030e-02 5.003191e-03
307 2.346587e-02 4.973693e-03
308 2.332229e-02 4.944370e-03
309 2.317956e-02 4.915222e-03
310 2.303767e-02 4.886247e-03
311 2.289661e-02 4.857444e-03
312 2.275639e-02 4.828812e-03
313 2.261699e-02 4.800351e-03
314 2.247841e-02 4.772058e-03
315 2.234064e-02 4.743933e-03
316 2.220369e-02 4.715976e-03
317 2.206755e-02 4.688184e-03
318 2.193220e-02 4.660557e-03
319 2.179766e-02 4.633094e-03
320 2.166390e-02 4.605794e-03
321 2.153093e-02 4.578655e-03
322 2.139875e-02 4.551677e-03
323 2.126734e-02 4.524860e-03
324 2.113671e-02 4.498201e-03
325 2.100685e-02 4.471700e-03
326 2.087775e-02 4.445356e-03
327 2.074941e-02 4.419168e-03
328 2.062183e-02 4.393135e-03
329 2.049500e-02 4.367256e-03
330 2.036891e-02 4.341530e-03
331 2.024357e-02 4.315956e-03
332 2.011897e-02 4.290534e-03
333 1.999510e-02 4.265262e-03
334 1.987195e-02 4.240139e-03
335 1.974954e-02 4.215165e-03
336 1.962784e-02 4.190339e-03
337 1.950686e-02 4.165659e-03
338 1.938659e-02 4.141126e-03
339 1.926703e-02 4.116737e-03
340 1.914818e-02 4.092493e-03
341 1.903002e-02 4.068391e-03
342 1.891256e-02 4.044432e-03
343 1.879579e-02 4.020615e-03
344 1.867971e-02 3.996938e-03
345 1.856432e-02 3.973401e-03
346 1.844960e-02 3.950003e-03
347 1.833555e-02 3.926744e-03
348 1.822218e-02 3.903621e-03
349 1.810948e-02 3.880635e-03
350 1.799744e-02 3.857785e-03
351 1.788605e-02 3.835070e-03
352 1.777533e-02 3.812489e-03
353 1.766525e-02 3.790041e-03
354 1.755583e-02 3.767725e-03
355 1.744705e-02 3.745541e-03
356 1.733890e-02 3.723488e-03
357 1.723140e-02 3.701565e-03
358 1.712453e-02 3.679772e-03
359 1.701828e-02 3.658107e-03
360 1.691267e-02 3.636569e-03
361 1.680767e-02 3.615159e-03
362 1.670329e-02 3.593875e-03
363 1.659953e-02 3.572717e-03
364 1.649638e-02 3.551683e-03
365 1.639383e-02 3.530774e-03
366 1.629189e-02 3.509987e-03
367 1.619055e-02 3.489324e-03
368 1.608980e-02 3.468782e-03
369 1.598965e-02 3.448361e-03
370 1.589009e-02 3.428060e-03
371 1.579111e-02 3.407880e-03
372 1.569271e-02 3.387818e-03
373 1.559490e-02 3.367874e-03
374 1.549766e-02 3.348048e-03
375 1.540099e-02 3.328339e-03
376 1.530490e-02 3.308746e-03
377 1.520936e-02 3.289268e-03
378 1.511439e-02 3.269906e-03
379 1.501998e-02 3.250657e-03
380 1.492613e-02 3.231522e-03
381 1.483283e-02 3.212499e-03
382 1.474007e-02 3.193589e-03
383 1.464787e-02 3.174790e-03
384 1.455620e-02 3.156101e-03
385 1.446508e-02 3.137523e-03
386 1.437449e-02 3.119055e-03
387 1.428443e-02 3.100695e-03
388 1.419491e-02 3.082443e-03
389 1.410591e-02 3.064299e-03
390 1.401744e-02 3.046261e-03
391 1.392948e-02 3.028330e-03
392 1.384205e-02 3.010505e-03
393 1.375512e-02 2.992784e-03
394 1.366872e-02 2.975168e-03
395 1.358281e-02 2.957656e-03
396 1.349742e-02 2.940247e-03
397 1.341253e-02 2.922940e-03
398 1.332813e-02 2.905735e-03
399 1.324424e-02 2.888632e-03
400 1.316084e-02 2.871629e-03
401 1.307793e-02 2.854727e-03
402 1.299550e-02 2.837924e-03
403 1.291356e-02 2.821219e-03
404 1.283211e-02 2.804614e-03
405 1.275113e-02 2.788106e-03
406 1.267063e-02 2.771695e-03
407 1.259061e-02 2.755381e-03
408 1.251105e-02 2.739163e-03
