# step err_l2 res_l2
0 2.460291e-01 1.000000e+00
1 2.160289e-01 1.636790e+00
2 1.916542e-01 1.373157e+00
3 1.688368e-01 1.021221e+00
4 1.496976e-01 9.510419e-01
5 1.355891e-01 7.517983e-01
6 1.233428e-01 5.554805e-01
7 1.131506e-01 4.856755e-01
8 1.048102e-01 3.784296e-01
9 9.747267e-02 2.807681e-01
10 9.108330e-02 2.393504e-01
11 8.538433e-02 1.863366e-01
12 8.019003e-02 1.403966e-01
13 7.543587e-02 1.195275e-01
14 7.098044e-02 9.585424e-02
15 6.682105e-02 7.624814e-02
16 6.294150e-02 6.659395e-02
17 5.927718e-02 5.660813e-02
18 5.584045e-02 4.832359e-02
19 5.261320e-02 4.396481e-02
20 4.956461e-02 3.950482e-02
21 4.669898e-02 3.579074e-02
22 4.400320e-02 3.330019e-02
23 4.145858e-02 3.085741e-02
24 3.906456e-02 2.869818e-02
25 3.681068e-02 2.692645e-02
26 3.468464e-02 2.524060e-02
27 3.268333e-02 2.368086e-02
28 3.079844e-02 2.228327e-02
29 2.902133e-02 2.096553e-02
30 2.734803e-02 1.972393e-02
31 2.577189e-02 1.857517e-02
32 2.428639e-02 1.749393e-02
33 2.288738e-02 1.647275e-02
34 2.156947e-02 1.551754e-02
35 2.032760e-02 1.461824e-02
36 1.915791e-02 1.376895e-02
37 1.805601e-02 1.297138e-02
38 1.701778e-02 1.222037e-02
39 1.603986e-02 1.151164e-02
40 1.511860e-02 1.084496e-02
41 1.425065e-02 1.021711e-02
42 1.343308e-02 9.625011e-03
43 1.266290e-02 9.067609e-03
44 1.193733e-02 8.542606e-03
45 1.125387e-02 8.047714e-03
46 1.061004e-02 7.581655e-03
47 1.000353e-02 7.142645e-03
48 9.432224e-03 6.728925e-03
49 8.894069e-03 6.339237e-03
50 8.387137e-03 5.972145e-03
51 7.909645e-03 5.626252e-03
52 7.459882e-03 5.300421e-03
53 7.036240e-03 4.993473e-03
54 6.637223e-03 4.704275e-03
55 6.261405e-03 4.431837e-03
56 5.907444e-03 4.175183e-03
57 5.574085e-03 3.933381e-03
58 5.260139e-03 3.705588e-03
59 4.964485e-03 3.490990e-03
60 4.686073e-03 3.288815e-03
61 4.423911e-03 3.098350e-03
62 4.177063e-03 2.918917e-03
63 3.944650e-03 2.749874e-03
64 3.725845e-03 2.590621e-03
65 3.519865e-03 2.440591e-03
66 3.325978e-03 2.299249e-03
67 3.143491e-03 2.166093e-03
68 2.971752e-03 2.040649e-03
69 2.810149e-03 1.922469e-03
70 2.658104e-03 1.811133e-03
71 2.515072e-03 1.706246e-03
72 2.380542e-03 1.607432e-03
73 2.254032e-03 1.514341e-03
74 2.135088e-03 1.426641e-03
75 2.023281e-03 1.344020e-03
76 1.918210e-03 1.266184e-03
77 1.819495e-03 1.192856e-03
78 1.726779e-03 1.123774e-03
79 1.639725e-03 1.058694e-03
80 1.558016e-03 9.973816e-04
81 1.481352e-03 9.396204e-04
82 1.409453e-03 8.852043e-04
83 1.342052e-03 8.339397e-04
84 1.278897e-03 7.856439e-04
85 1.219752e-03 7.401450e-04
86 1.164393e-03 6.972811e-04
87 1.112607e-03 6.568996e-04
88 1.064194e-03 6.188567e-04
89 1.018964e-03 5.830170e-04
90 9.767364e-04 5.492528e-04
91 9.373407e-04 5.174440e-04
92 9.006145e-04 4.874774e-04
93 8.664032e-04 4.592462e-04
