# step err_l2 res_l2
0 2.462974e-01 1.000000e+00
1 2.217733e-01 2.396081e-01
2 2.102370e-01 1.397955e-01
3 2.019362e-01 1.010019e-01
4 1.952087e-01 8.027085e-02
5 1.894565e-01 6.717540e-02
6 1.843854e-01 5.805750e-02
7 1.798243e-01 5.129513e-02
8 1.756638e-01 4.605251e-02
9 1.718285e-01 4.185242e-02
10 1.682641e-01 3.840127e-02
11 1.649295e-01 3.550788e-02
12 1.617934e-01 3.304206e-02
13 1.588306e-01 3.091188e-02
14 1.560209e-01 2.905043e-02
15 1.533477e-01 2.740783e-02
16 1.507972e-01 2.594603e-02
17 1.483576e-01 2.463548e-02
18 1.460189e-01 2.345287e-02
19 1.437724e-01 2.237954e-02
20 1.416108e-01 2.140036e-02
21 1.395274e-01 2.050294e-02
22 1.375165e-01 1.967701e-02
23 1.355729e-01 1.891398e-02
24 1.336920e-01 1.820662e-02
25 1.318697e-01 1.754881e-02
26 1.301024e-01 1.693530e-02
27 1.283866e-01 1.636157e-02
28 1.267194e-01 1.582373e-02
29 1.250980e-01 1.531839e-02
30 1.235197e-01 1.484258e-02
31 1.219824e-01 1.439370e-02
32 1.204838e-01 1.396947e-02
33 1.190220e-01 1.356785e-02
34 1.175952e-01 1.318705e-02
35 1.162017e-01 1.282545e-02
36 1.148398e-01 1.248164e-02
37 1.135082e-01 1.215432e-02
38 1.122054e-01 1.184234e-02
39 1.109302e-01 1.154465e-02
40 1.096814e-01 1.126032e-02
41 1.084578e-01 1.098848e-02
42 1.072585e-01 1.072835e-02
43 1.060824e-01 1.047923e-02
44 1.049286e-01 1.024046e-02
45 1.037963e-01 1.001144e-02
46 1.026845e-01 9.791631e-03
47 1.015925e-01 9.580523e-03
48 1.005197e-01 9.377645e-03
49 9.946524e-02 9.182566e-03
50 9.842852e-02 8.994880e-03
51 9.740891e-02 8.814212e-03
52 9.640583e-02 8.640212e-03
53 9.541871e-02 8.472552e-03
54 9.444703e-02 8.310925e-03
55 9.349028e-02 8.155041e-03
56 9.254798e-02 8.004630e-03
57 9.161969e-02 7.859436e-03
58 9.070496e-02 7.719218e-03
59 8.980339e-02 7.583747e-03
60 8.891459e-02 7.452808e-03
61 8.803818e-02 7.326197e-03
62 8.717382e-02 7.203719e-03
63 8.632116e-02 7.085191e-03
64 8.547988e-02 6.970438e-03
65 8.464968e-02 6.859294e-03
66 8.383026e-02 6.751601e-03
67 8.302134e-02 6.647208e-03
68 8.222266e-02 6.545972e-03
69 8.143396e-02 6.447756e-03
70 8.065501e-02 6.352430e-03
71 7.988555e-02 6.259871e-03
72 7.912538e-02 6.169959e-03
73 7.837428e-02 6.082583e-03
74 7.763205e-02 5.997633e-03
75 7.689849e-02 5.915008e-03
76 7.617340e-02 5.834608e-03
77 7.545662e-02 5.756342e-03
78 7.474798e-02 5.680119e-03
79 7.404729e-02 5.605854e-03
80 7.335441e-02 5.533466e-03
81 7.266919e-02 5.462877e-03
82 7.199147e-02 5.394013e-03
83 7.132112e-02 5.326804e-03
84 7.065800e-02 5.261183e-03
85 7.000197e-02 5.197084e-03
86 6.935292e-02 5.134447e-03
87 6.871072e-02 5.073214e-03
88 6.807525e-02 5.013328e-03
89 6.744641e-02 4.954737e-03
90 6.682408e-02 4.897389e-03
91 6.620815e-02 4.841237e-03
92 6.559853e-02 4.786234e-03
93 6.499512e-02 4.732337e-03
94 6.439782e-02 4.679504e-03
95 6.380653e-02 4.627695e-03
96 6.322118e-02 4.576872e-03
97 6.264167e-02 4.526998e-03
98 6.206792e-02 4.478039e-03
99 6.149985e-02 4.429963e-03
100 6.093737e-02 4.382738e-03
101 6.038042e-02 4.336334e-03
102 5.982891e-02 4.290723e-03
103 5.928278e-02 4.245877e-03
104 5.874195e-02 4.201771e-03
105 5.820636e-02 4.158381e-03
106 5.767593e-02 4.115681e-03
107 5.715061e-02 4.073651e-03
108 5.663032e-02 4.032270e-03
109 5.611501e-02 3.991515e-03
110 5.560462e-02 3.951369e-03
111 5.509908e-02 3.911813e-03
112 5.459835e-02 3.872828e-03
113 5.410235e-02 3.834399e-03
114 5.361104e-02 3.796509e-03
115 5.312437e-02 3.759143e-03
116 5.264227e-02 3.722286e-03
117 5.216470e-02 3.685924e-03
118 5.169161e-02 3.650044e-03
119 5.122294e-02 3.614633e-03
120 5.075866e-02 3.579679e-03
121 5.029870e-02 3.545170e-03
122 4.984303e-02 3.511096e-03
123 4.939159e-02 3.477445e-03
124 4.894435e-02 3.444207e-03
125 4.850126e-02 3.411373e-03
126 4.806226e-02 3.378933e-03
127 4.762733e-02 3.346878e-03
128 4.719642e-02 3.315200e-03
129 4.676948e-02 3.283890e-03
130 4.634648e-02 3.252941e-03
131 4.592738e-02 3.222345e-03
132 4.551213e-02 3.192095e-03
133 4.510070e-02 3.162183e-03
134 4.469305e-02 3.132604e-03
135 4.428914e-02 3.103350e-03
136 4.388893e-02 3.074416e-03
137 4.349239e-02 3.045795e-03
138 4.309948e-02 3.017482e-03
139 4.271017e-02 2.989471e-03
140 4.232441e-02 2.961757e-03
141 4.194218e-02 2.934334e-03
142 4.156344e-02 2.907199e-03
143 4.118816e-02 2.880346e-03
144 4.081630e-02 2.853770e-03
145 4.044783e-02 2.827467e-03
146 4.008272e-02 2.801433e-03
147 3.972093e-02 2.775663e-03
148 3.936243e-02 2.750154e-03
149 3.900720e-02 2.724901e-03
150 3.865520e-02 2.699901e-03
151 3.830640e-02 2.675151e-03
152 3.796077e-02 2.650645e-03
153 3.761828e-02 2.626382e-03
154 3.727891e-02 2.602358e-03
155 3.694261e-02 2.578569e-03
156 3.660936e-02 2.555012e-03
157 3.627914e-02 2.531685e-03
158 3.595192e-02 2.508584e-03
159 3.562766e-02 2.485706e-03
160 3.530634e-02 2.463048e-03
161 3.498794e-02 2.440609e-03
162 3.467242e-02 2.418384e-03
163 3.435976e-02 2.396371e-03
164 3.404993e-02 2.374569e-03
165 3.374291e-02 2.352973e-03
166 3.343866e-02 2.331583e-03
167 3.313718e-02 2.310394e-03
168 3.283842e-02 2.289406e-03
169 3.254236e-02 2.268615e-03
170 3.224899e-02 2.248020e-03
171 3.195826e-02 2.227619e-03
172 3.167017e-02 2.207408e-03
173 3.138469e-02 2.187386e-03
174 3.110178e-02 2.167551e-03
175 3.082144e-02 2.147901e-03
176 3.054362e-02 2.128434e-03
177 3.026832e-02 2.109148e-03
178 2.999551e-02 2.090041e-03
179 2.972517e-02 2.071111e-03
180 2.945726e-02 2.052356e-03
181 2.919178e-02 2.033774e-03
182 2.892870e-02 2.015364e-03
183 2.866799e-02 1.997124e-03
184 2.840964e-02 1.979052e-03
185 2.815363e-02 1.961146e-03
186 2.789992e-02 1.943405e-03
187 2.764851e-02 1.925827e-03
188 2.739937e-02 1.908410e-03
189 2.715248e-02 1.891153e-03
190 2.690782e-02 1.874055e-03
