# step err_l2 res_l2
0 2.462974e-01 1.000000e+00
1 2.350754e-01 4.142870e-01
2 2.303634e-01 2.160741e-01
3 2.272834e-01 1.475948e-01
4 2.248102e-01 1.182602e-01
5 2.131026e-01 6.269436e-02
6 2.117287e-01 5.834199e-02
7 2.104199e-01 5.470542e-02
8 2.091674e-01 5.158241e-02
9 2.079648e-01 4.885645e-02
10 2.007143e-01 3.691751e-02
11 1.997701e-01 3.560620e-02
12 1.988500e-01 3.440729e-02
13 1.979523e-01 3.330155e-02
14 1.970756e-01 3.227637e-02
15 1.915026e-01 2.693720e-02
16 1.907542e-01 2.629565e-02
17 1.900190e-01 2.568993e-02
18 1.892965e-01 2.511591e-02
19 1.885861e-01 2.457069e-02
20 1.839602e-01 2.149071e-02
21 1.833296e-01 2.110368e-02
22 1.827076e-01 2.073261e-02
23 1.820940e-01 2.037614e-02
24 1.814885e-01 2.003325e-02
25 1.774905e-01 1.800430e-02
26 1.769406e-01 1.774246e-02
27 1.763969e-01 1.748917e-02
28 1.758592e-01 1.724386e-02
29 1.753275e-01 1.700609e-02
30 1.717845e-01 1.555640e-02
31 1.712943e-01 1.536598e-02
32 1.708088e-01 1.518072e-02
33 1.703280e-01 1.500033e-02
34 1.698516e-01 1.482458e-02
35 1.666576e-01 1.373042e-02
36 1.662138e-01 1.358489e-02
37 1.657738e-01 1.344274e-02
38 1.653374e-01 1.330378e-02
39 1.649047e-01 1.316790e-02
40 1.619890e-01 1.230885e-02
41 1.615826e-01 1.219352e-02
42 1.611793e-01 1.208053e-02
43 1.607790e-01 1.196976e-02
44 1.603817e-01 1.186114e-02
45 1.576946e-01 1.116631e-02
46 1.573192e-01 1.107236e-02
47 1.569463e-01 1.098009e-02
48 1.565759e-01 1.088944e-02
49 1.562081e-01 1.080035e-02
50 1.537129e-01 1.022513e-02
51 1.533636e-01 1.014691e-02
52 1.530164e-01 1.006994e-02
53 1.526714e-01 9.994191e-03
54 1.523286e-01 9.919620e-03
55 1.499974e-01 9.434467e-03
