# step res_l2 res_l2_check diff
0 1.000000e+00 1.000000e+00 0.000000e+00
1 4.142870e-01 4.142870e-01 0.000000e+00
2 2.160741e-01 2.160741e-01 0.000000e+00
3 1.475948e-01 1.475948e-01 0.000000e+00
4 1.182602e-01 1.182602e-01 0.000000e+00
5 6.911630e-02 6.911630e-02 0.000000e+00
6 6.232090e-02 6.232090e-02 0.000000e+00
7 5.725801e-02 5.725801e-02 0.000000e+00
8 5.329651e-02 5.329651e-02 0.000000e+00
9 5.009593e-02 5.009593e-02 0.000000e+00
10 3.876842e-02 3.876842e-02 0.000000e+00
11 3.728488e-02 3.728488e-02 0.000000e+00
12 3.600111e-02 3.600111e-02 0.000000e+00
13 3.486156e-02 3.486156e-02 0.000000e+00
14 3.383107e-02 3.383107e-02 0.000000e+00
15 2.864312e-02 2.864312e-02 0.000000e+00
16 2.795600e-02 2.795600e-02 0.000000e+00
17 2.730915e-02 2.730915e-02 0.000000e+00
18 2.669407e-02 2.669407e-02 0.000000e+00
19 2.610655e-02 2.610655e-02 0.000000e+00
20 2.233037e-02 2.233037e-02 0.000000e+00
21 2.188299e-02 2.188299e-02 0.000000e+00
22 2.144978e-02 2.144978e-02 0.000000e+00
23 2.102964e-02 2.102964e-02 0.000000e+00
24 2.062208e-02 2.062208e-02 0.000000e+00
25 1.753422e-02 1.753422e-02 0.000000e+00
26 1.721649e-02 1.721649e-02 0.000000e+00
27 1.690654e-02 1.690654e-02 0.000000e+00
28 1.660441e-02 1.660441e-02 0.000000e+00
29 1.630996e-02 1.630996e-02 0.000000e+00
30 1.377435e-02 1.377435e-02 0.000000e+00
31 1.354280e-02 1.354280e-02 0.000000e+00
32 1.331756e-02 1.331756e-02 0.000000e+00
33 1.309797e-02 1.309797e-02 0.000000e+00
34 1.288368e-02 1.288368e-02 0.000000e+00
35 1.083301e-02 1.083301e-02 0.000000e+00
36 1.066169e-02 1.066169e-02 0.000000e+00
37 1.049669e-02 1.049669e-02 0.000000e+00
38 1.033625e-02 1.033625e-02 0.000000e+00
39 1.017975e-02 1.017975e-02 0.000000e+00
40 8.546030e-03 8.546030e-03 0.000000e+00
41 8.417408e-03 8.417408e-03 0.000000e+00
42 8.295395e-03 8.295395e-03 0.000000e+00
43 8.177298e-03 8.177298e-03 0.000000e+00
44 8.062298e-03 8.062298e-03 0.000000e+00
45 6.775633e-03 6.775633e-03 0.000000e+00
46 6.677551e-03 6.677551e-03 0.000000e+00
47 6.586188e-03 6.586188e-03 0.000000e+00
48 6.498290e-03 6.498290e-03 0.000000e+00
49 6.412923e-03 6.412923e-03 0.000000e+00
50 5.407238e-03 5.407238e-03 0.000000e+00
51 5.331223e-03 5.331223e-03 0.000000e+00
52 5.261750e-03 5.261750e-03 0.000000e+00
53 5.195353e-03 5.195353e-03 0.000000e+00
54 5.131079e-03 5.131079e-03 0.000000e+00
55 4.347927e-03 4.347927e-03 0.000000e+00
56 4.288069e-03 4.288069e-03 0.000000e+00
57 4.234316e-03 4.234316e-03 0.000000e+00
58 4.183271e-03 4.183271e-03 0.000000e+00
59 4.134024e-03 4.134024e-03 0.000000e+00
60 3.524139e-03 3.524139e-03 0.000000e+00
61 3.476309e-03 3.476309e-03 0.000000e+00
62 3.433963e-03 3.433963e-03 0.000000e+00
63 3.393967e-03 3.393967e-03 0.000000e+00
64 3.355497e-03 3.355497e-03 0.000000e+00
65 2.878866e-03 2.878866e-03 0.000000e+00
66 2.840155e-03 2.840155e-03 0.000000e+00
67 2.806219e-03 2.806219e-03 0.000000e+00
68 2.774288e-03 2.774288e-03 0.000000e+00
69 2.743645e-03 2.743645e-03 0.000000e+00
70 2.368728e-03 2.368728e-03 0.000000e+00
71 2.337067e-03 2.337067e-03 0.000000e+00
72 2.309457e-03 2.309457e-03 0.000000e+00
73 2.283530e-03 2.283530e-03 0.000000e+00
74 2.258682e-03 2.258682e-03 0.000000e+00
75 1.961212e-03 1.961212e-03 0.000000e+00
76 1.935103e-03 1.935103e-03 0.000000e+00
77 1.912359e-03 1.912359e-03 0.000000e+00
78 1.891010e-03 1.891010e-03 0.000000e+00
79 1.870558e-03 1.870558e-03 0.000000e+00
80 1.632205e-03 1.632205e-03 0.000000e+00
81 1.610544e-03 1.610544e-03 0.000000e+00
82 1.591631e-03 1.591631e-03 0.000000e+00
83 1.573861e-03 1.573861e-03 0.000000e+00
84 1.556831e-03 1.556831e-03 0.000000e+00
85 1.363925e-03 1.363925e-03 0.000000e+00
86 1.345874e-03 1.345874e-03 0.000000e+00
87 1.330042e-03 1.330042e-03 0.000000e+00
88 1.315137e-03 1.315137e-03 0.000000e+00
89 1.300838e-03 1.300838e-03 0.000000e+00
90 1.143239e-03 1.143239e-03 0.000000e+00
91 1.128152e-03 1.128152e-03 0.000000e+00
92 1.114840e-03 1.114840e-03 0.000000e+00
93 1.102275e-03 1.102275e-03 0.000000e+00
94 1.090205e-03 1.090205e-03 0.000000e+00
95 9.603859e-04 9.603859e-04 0.000000e+00
96 9.477522e-04 9.477522e-04 0.000000e+00
97 9.365285e-04 9.365285e-04 0.000000e+00
98 9.259050e-04 9.259050e-04 0.000000e+00
99 9.156837e-04 9.156837e-04 0.000000e+00
100 8.080160e-04 8.080160e-04 0.000000e+00
101 7.974243e-04 7.974243e-04 0.000000e+00
102 7.879484e-04 7.879484e-04 0.000000e+00
103 7.789532e-04 7.789532e-04 0.000000e+00
104 7.702843e-04 7.702843e-04 0.000000e+00
105 6.805069e-04 6.805069e-04 0.000000e+00
106 6.716215e-04 6.716215e-04 0.000000e+00
107 6.636172e-04 6.636172e-04 0.000000e+00
108 6.559975e-04 6.559975e-04 0.000000e+00
109 6.486420e-04 6.486420e-04 0.000000e+00
110 5.734785e-04 5.734785e-04 0.000000e+00
111 5.660224e-04 5.660224e-04 0.000000e+00
112 5.592616e-04 5.592616e-04 0.000000e+00
113 5.528084e-04 5.528084e-04 0.000000e+00
114 5.465693e-04 5.465693e-04 0.000000e+00
115 4.834562e-04 4.834562e-04 0.000000e+00
116 4.771991e-04 4.771991e-04 0.000000e+00
117 4.714909e-04 4.714909e-04 0.000000e+00
118 4.660290e-04 4.660290e-04 0.000000e+00
119 4.607405e-04 4.607405e-04 0.000000e+00
120 4.076385e-04 4.076385e-04 0.000000e+00
121 4.023878e-04 4.023878e-04 0.000000e+00
122 3.975711e-04 3.975711e-04 0.000000e+00
123 3.929520e-04 3.929520e-04 0.000000e+00
124 3.884735e-04 3.884735e-04 0.000000e+00
125 3.437347e-04 3.437347e-04 0.000000e+00
126 3.393291e-04 3.393291e-04 0.000000e+00
127 3.352673e-04 3.352673e-04 0.000000e+00
128 3.313642e-04 3.313642e-04 0.000000e+00
129 3.275754e-04 3.275754e-04 0.000000e+00
130 2.898513e-04 2.898513e-04 0.000000e+00
131 2.861553e-04 2.861553e-04 0.000000e+00
132 2.827322e-04 2.827322e-04 0.000000e+00
133 2.794370e-04 2.794370e-04 0.000000e+00
134 2.762349e-04 2.762349e-04 0.000000e+00
135 2.444105e-04 2.444105e-04 0.000000e+00
136 2.413101e-04 2.413101e-04 0.000000e+00
137 2.384271e-04 2.384271e-04 0.000000e+00
138 2.356473e-04 2.356473e-04 0.000000e+00
139 2.329434e-04 2.329434e-04 0.000000e+00
140 2.060899e-04 2.060899e-04 0.000000e+00
141 2.034893e-04 2.034893e-04 0.000000e+00
142 2.010624e-04 2.010624e-04 0.000000e+00
143 1.987191e-04 1.987191e-04 0.000000e+00
144 1.964377e-04 1.964377e-04 0.000000e+00
145 1.737770e-04 1.737770e-04 0.000000e+00
146 1.715958e-04 1.715958e-04 0.000000e+00
147 1.695537e-04 1.695537e-04 0.000000e+00
148 1.675795e-04 1.675795e-04 0.000000e+00
149 1.656560e-04 1.656560e-04 0.000000e+00
150 1.465339e-04 1.465339e-04 0.000000e+00
151 1.447044e-04 1.447044e-04 0.000000e+00
152 1.429868e-04 1.429868e-04 0.000000e+00
153 1.413244e-04 1.413244e-04 0.000000e+00
154 1.397035e-04 1.397035e-04 0.000000e+00
155 1.235687e-04 1.235687e-04 0.000000e+00
156 1.220342e-04 1.220342e-04 0.000000e+00
157 1.205898e-04 1.205898e-04 0.000000e+00
158 1.191905e-04 1.191905e-04 0.000000e+00
159 1.178253e-04 1.178253e-04 0.000000e+00
160 1.042127e-04 1.042127e-04 0.000000e+00
161 1.029255e-04 1.029255e-04 0.000000e+00
162 1.017111e-04 1.017111e-04 0.000000e+00
163 1.005337e-04 1.005337e-04 0.000000e+00
164 9.938431e-05 9.938431e-05 0.000000e+00
165 8.790115e-05 8.790115e-05 0.000000e+00
166 8.682119e-05 8.682119e-05 0.000000e+00
167 8.580041e-05 8.580041e-05 0.000000e+00
168 8.480986e-05 8.480986e-05 0.000000e+00
169 8.384247e-05 8.384247e-05 0.000000e+00
170 7.415706e-05 7.415706e-05 0.000000e+00
171 7.325092e-05 7.325092e-05 0.000000e+00
172 7.239293e-05 7.239293e-05 0.000000e+00
173 7.155977e-05 7.155977e-05 0.000000e+00
174 7.074574e-05 7.074574e-05 0.000000e+00
175 6.257799e-05 6.257799e-05 0.000000e+00
176 6.181761e-05 6.181761e-05 0.000000e+00
177 6.109649e-05 6.109649e-05 0.000000e+00
178 6.039583e-05 6.039583e-05 0.000000e+00
179 5.971098e-05 5.971098e-05 0.000000e+00
180 5.282444e-05 5.282444e-05 0.000000e+00
181 5.218631e-05 5.218631e-05 0.000000e+00
182 5.158028e-05 5.158028e-05 0.000000e+00
183 5.099111e-05 5.099111e-05 0.000000e+00
184 5.041504e-05 5.041504e-05 0.000000e+00
185 4.461019e-05 4.461019e-05 0.000000e+00
186 4.407462e-05 4.407462e-05 0.000000e+00
187 4.356534e-05 4.356534e-05 0.000000e+00
188 4.307000e-05 4.307000e-05 0.000000e+00
189 4.258553e-05 4.258553e-05 0.000000e+00
190 3.769405e-05 3.769405e-05 0.000000e+00
191 3.724455e-05 3.724455e-05 0.000000e+00
192 3.681663e-05 3.681663e-05 0.000000e+00
193 3.640025e-05 3.640025e-05 0.000000e+00
194 3.599289e-05 3.599289e-05 0.000000e+00
195 3.187286e-05 3.187286e-05 0.000000e+00
196 3.149564e-05 3.149564e-05 0.000000e+00
197 3.113616e-05 3.113616e-05 0.000000e+00
198 3.078624e-05 3.078624e-05 0.000000e+00
199 3.044382e-05 3.044382e-05 0.000000e+00
200 2.697562e-05 2.697562e-05 0.000000e+00
201 2.665912e-05 2.665912e-05 0.000000e+00
202 2.635723e-05 2.635723e-05 0.000000e+00
203 2.606327e-05 2.606327e-05 0.000000e+00
204 2.577555e-05 2.577555e-05 0.000000e+00
205 2.285842e-05 2.285842e-05 0.000000e+00
206 2.259297e-05 2.259297e-05 0.000000e+00
207 2.233956e-05 2.233956e-05 0.000000e+00
208 2.209274e-05 2.209274e-05 0.000000e+00
209 2.185112e-05 2.185112e-05 0.000000e+00
210 1.940020e-05 1.940020e-05 0.000000e+00
