# level nx ny res_l2
1 64 64 6.308823e+04
2 32 32 1.630156e+04
3 16 16 4.115787e+03
4 8 8 8.859538e+02
1 64 64 2.366238e+04
2 32 32 6.959305e+03
3 16 16 1.897600e+03
4 8 8 4.072550e+02
1 64 64 1.361478e+04
2 32 32 4.217029e+03
3 16 16 1.177642e+03
4 8 8 2.565912e+02
1 64 64 9.180956e+03
2 32 32 2.929109e+03
3 16 16 8.429817e+02
4 8 8 1.920691e+02
1 64 64 6.632568e+03
2 32 32 2.150330e+03
3 16 16 6.326963e+02
4 8 8 1.483224e+02
1 64 64 4.985293e+03
2 32 32 1.633789e+03
3 16 16 4.892791e+02
4 8 8 1.170126e+02
1 64 64 3.853448e+03
2 32 32 1.272883e+03
3 16 16 3.865635e+02
4 8 8 9.372000e+01
1 64 64 3.045999e+03
2 32 32 1.012336e+03
3 16 16 3.108857e+02
4 8 8 7.610015e+01
1 64 64 2.452402e+03
2 32 32 8.189660e+02
3 16 16 2.537285e+02
4 8 8 6.253287e+01
1 64 64 2.004271e+03
2 32 32 6.718208e+02
3 16 16 2.095764e+02
4 8 8 5.190154e+01
1 64 64 1.657760e+03
2 32 32 5.572817e+02
3 16 16 1.747679e+02
4 8 8 4.342922e+01
1 64 64 1.384121e+03
2 32 32 4.663279e+02
3 16 16 1.468339e+02
4 8 8 3.657434e+01
1 64 64 1.164113e+03
2 32 32 3.928691e+02
3 16 16 1.240794e+02
4 8 8 3.095571e+01
1 64 64 9.845789e+02
2 32 32 3.327062e+02
3 16 16 1.053165e+02
4 8 8 2.630097e+01
1 64 64 8.363035e+02
2 32 32 2.828756e+02
3 16 16 8.969304e+01
4 8 8 2.241169e+01
1 64 64 7.126723e+02
2 32 32 2.412339e+02
3 16 16 7.658351e+01
4 8 8 1.914012e+01
1 64 64 6.088169e+02
2 32 32 2.061923e+02
3 16 16 6.551733e+01
4 8 8 1.637382e+01
1 64 64 5.210671e+02
2 32 32 1.765453e+02
3 16 16 5.613273e+01
4 8 8 1.402539e+01
1 64 64 4.465933e+02
2 32 32 1.513581e+02
3 16 16 4.814586e+01
4 8 8 1.202560e+01
1 64 64 3.831698e+02
2 32 32 1.298916e+02
3 16 16 4.133005e+01
4 8 8 1.031871e+01
1 64 64 3.290154e+02
2 32 32 1.115516e+02
3 16 16 3.550150e+01
4 8 8 8.859221e+00
1 64 64 2.826833e+02
2 32 32 9.585393e+01
3 16 16 3.050936e+01
4 8 8 7.609559e+00
1 64 64 2.429835e+02
2 32 32 8.239900e+01
3 16 16 2.622848e+01
4 8 8 6.538437e+00
1 64 64 2.089278e+02
2 32 32 7.085422e+01
3 16 16 2.255421e+01
4 8 8 5.619603e+00
1 64 64 1.796887e+02
2 32 32 6.094054e+01
3 16 16 1.939843e+01
4 8 8 4.830913e+00
1 64 64 1.545688e+02
2 32 32 5.242245e+01
3 16 16 1.668659e+01
4 8 8 4.153605e+00
1 64 64 1.329774e+02
2 32 32 4.510024e+01
3 16 16 1.435535e+01
4 8 8 3.571729e+00
1 64 64 1.144123e+02
2 32 32 3.880397e+01
3 16 16 1.235073e+01
4 8 8 3.071690e+00
1 64 64 9.844517e+01
2 32 32 3.338859e+01
3 16 16 1.062659e+01
4 8 8 2.641878e+00
1 64 64 8.470989e+01
2 32 32 2.873005e+01
3 16 16 9.143476e+00
4 8 8 2.272362e+00
1 64 64 7.289290e+01
2 32 32 2.472209e+01
3 16 16 7.867542e+00
4 8 8 1.954637e+00
1 64 64 6.272534e+01
2 32 32 2.127355e+01
3 16 16 6.769763e+00
4 8 8 1.681412e+00
1 64 64 5.397641e+01
2 32 32 1.830618e+01
3 16 16 5.825211e+00
4 8 8 1.446431e+00
1 64 64 4.644787e+01
2 32 32 1.575274e+01
3 16 16 5.012469e+00
4 8 8 1.244327e+00
1 64 64 3.996932e+01
2 32 32 1.355543e+01
3 16 16 4.313126e+00
4 8 8 1.070489e+00
1 64 64 3.439423e+01
2 32 32 1.166457e+01
3 16 16 3.711350e+00
4 8 8 9.209555e-01
1 64 64 2.959660e+01
2 32 32 1.003741e+01
3 16 16 3.193526e+00
4 8 8 7.923237e-01
1 64 64 2.546801e+01
2 32 32 8.637176e+00
3 16 16 2.747941e+00
4 8 8 6.816681e-01
1 64 64 2.191517e+01
2 32 32 7.432222e+00
3 16 16 2.364517e+00
4 8 8 5.864737e-01
1 64 64 1.885781e+01
2 32 32 6.395322e+00
3 16 16 2.034584e+00
4 8 8 5.045784e-01
1 64 64 1.622687e+01
2 32 32 5.503045e+00
3 16 16 1.750680e+00
4 8 8 4.341228e-01
1 64 64 1.396287e+01
2 32 32 4.735227e+00
3 16 16 1.506384e+00
4 8 8 3.735079e-01
1 64 64 1.201468e+01
2 32 32 4.074513e+00
3 16 16 1.296173e+00
4 8 8 3.213586e-01
1 64 64 1.033825e+01
2 32 32 3.505969e+00
3 16 16 1.115292e+00
4 8 8 2.764919e-01
1 64 64 8.895680e+00
2 32 32 3.016741e+00
3 16 16 9.596492e-01
4 8 8 2.378904e-01
1 64 64 7.654367e+00
2 32 32 2.595768e+00
3 16 16 8.257239e-01
4 8 8 2.046790e-01
1 64 64 6.586241e+00
2 32 32 2.233530e+00
3 16 16 7.104866e-01
4 8 8 1.761049e-01
1 64 64 5.667146e+00
2 32 32 1.921833e+00
3 16 16 6.113299e-01
4 8 8 1.515203e-01
1 64 64 4.876294e+00
2 32 32 1.653629e+00
