# level nx ny res_l2_norm
1 64 64 9.012766e-02
2 32 32 2.538824e-02
3 16 16 6.724077e-03
4 8 8 1.462869e-03
1 64 64 4.686131e-02
2 32 32 1.456158e-02
3 16 16 4.173633e-03
4 8 8 1.026065e-03
1 64 64 3.181104e-02
2 32 32 1.030730e-02
3 16 16 3.073986e-03
4 8 8 8.088607e-04
1 64 64 2.417092e-02
2 32 32 8.004319e-03
3 16 16 2.457114e-03
4 8 8 6.715383e-04
1 64 64 1.952816e-02
2 32 32 6.553376e-03
3 16 16 2.055954e-03
4 8 8 5.753986e-04
1 64 64 1.639872e-02
2 32 32 5.552470e-03
3 16 16 1.770720e-03
4 8 8 5.040508e-04
1 64 64 1.414169e-02
2 32 32 4.818727e-03
3 16 16 1.556029e-03
4 8 8 4.489509e-04
1 64 64 1.243339e-02
2 32 32 4.256619e-03
3 16 16 1.387930e-03
4 8 8 4.050818e-04
1 64 64 1.109265e-02
2 32 32 3.811352e-03
3 16 16 1.252388e-03
4 8 8 3.692759e-04
1 64 64 1.001030e-02
2 32 32 3.449289e-03
3 16 16 1.140569e-03
4 8 8 3.394372e-04
1 64 64 9.116750e-03
2 32 32 3.148654e-03
3 16 16 1.046610e-03
4 8 8 3.141306e-04
1 64 64 8.365588e-03
2 32 32 2.894739e-03
3 16 16 9.664604e-04
4 8 8 2.923466e-04
1 64 64 7.724643e-03
2 32 32 2.677240e-03
3 16 16 8.972258e-04
4 8 8 2.733581e-04
1 64 64 7.170899e-03
2 32 32 2.488720e-03
3 16 16 8.367809e-04
4 8 8 2.566297e-04
1 64 64 6.687427e-03
2 32 32 2.323666e-03
3 16 16 7.835273e-04
4 8 8 2.417593e-04
1 64 64 6.261478e-03
2 32 32 2.177903e-03
3 16 16 7.362381e-04
4 8 8 2.284389e-04
1 64 64 5.883258e-03
2 32 32 2.048204e-03
3 16 16 6.939551e-04
4 8 8 2.164283e-04
1 64 64 5.545109e-03
2 32 32 1.932032e-03
3 16 16 6.559179e-04
4 8 8 2.055372e-04
1 64 64 5.240948e-03
2 32 32 1.827368e-03
3 16 16 6.215155e-04
4 8 8 1.956125e-04
1 64 64 4.965885e-03
2 32 32 1.732580e-03
3 16 16 5.902505e-04
4 8 8 1.865292e-04
1 64 64 4.715937e-03
2 32 32 1.646336e-03
3 16 16 5.617142e-04
4 8 8 1.781843e-04
1 64 64 4.487829e-03
2 32 32 1.567536e-03
3 16 16 5.355672e-04
4 8 8 1.704917e-04
1 64 64 4.278841e-03
2 32 32 1.495267e-03
3 16 16 5.115254e-04
4 8 8 1.633788e-04
1 64 64 4.086698e-03
2 32 32 1.428760e-03
3 16 16 4.893490e-04
4 8 8 1.567839e-04
1 64 64 3.909476e-03
2 32 32 1.367365e-03
3 16 16 4.688343e-04
4 8 8 1.506541e-04
1 64 64 3.745544e-03
2 32 32 1.310531e-03
3 16 16 4.498067e-04
4 8 8 1.449435e-04
1 64 64 3.593504e-03
2 32 32 1.257783e-03
3 16 16 4.321159e-04
4 8 8 1.396125e-04
1 64 64 3.452150e-03
2 32 32 1.208711e-03
3 16 16 4.156316e-04
4 8 8 1.346261e-04
1 64 64 3.320439e-03
2 32 32 1.162960e-03
3 16 16 4.002401e-04
4 8 8 1.299537e-04
1 64 64 3.197462e-03
2 32 32 1.120219e-03
3 16 16 3.858417e-04
4 8 8 1.255680e-04
1 64 64 3.082421e-03
