# step err_l2 res_l2
0 2.460291e-01 1.000000e+00
1 2.239441e-01 7.356073e-01
2 2.092563e-01 3.059868e-01
3 2.005011e-01 2.149893e-01
4 1.935792e-01 1.728157e-01
5 1.876716e-01 1.456014e-01
6 1.824723e-01 1.263057e-01
7 1.778031e-01 1.118860e-01
8 1.735487e-01 1.006458e-01
9 1.696304e-01 9.160058e-02
10 1.659916e-01 8.414131e-02
11 1.625899e-01 7.786881e-02
12 1.593926e-01 7.250971e-02
13 1.563738e-01 6.787008e-02
14 1.535125e-01 6.380823e-02
15 1.507916e-01 6.021809e-02
16 1.481969e-01 5.701854e-02
17 1.457160e-01 5.414644e-02
18 1.433389e-01 5.155180e-02
19 1.410565e-01 4.919456e-02
20 1.388611e-01 4.704217e-02
21 1.367461e-01 4.506787e-02
22 1.347053e-01 4.324951e-02
23 1.327335e-01 4.156854e-02
24 1.308260e-01 4.000930e-02
25 1.289786e-01 3.855849e-02
26 1.271874e-01 3.720473e-02
27 1.254489e-01 3.593825e-02
28 1.237601e-01 3.475056e-02
29 1.221181e-01 3.363429e-02
30 1.205203e-01 3.258301e-02
31 1.189642e-01 3.159106e-02
32 1.174477e-01 3.065346e-02
33 1.159687e-01 2.976579e-02
34 1.145253e-01 2.892414e-02
35 1.131159e-01 2.812501e-02
36 1.117387e-01 2.736528e-02
37 1.103923e-01 2.664215e-02
38 1.090753e-01 2.595308e-02
39 1.077863e-01 2.529581e-02
40 1.065241e-01 2.466826e-02
41 1.052876e-01 2.406856e-02
42 1.040757e-01 2.349498e-02
43 1.028873e-01 2.294596e-02
44 1.017216e-01 2.242007e-02
45 1.005776e-01 2.191597e-02
46 9.945455e-02 2.143246e-02
47 9.835156e-02 2.096840e-02
48 9.726792e-02 2.052274e-02
49 9.620291e-02 2.009451e-02
50 9.515588e-02 1.968280e-02
51 9.412619e-02 1.928677e-02
52 9.311324e-02 1.890562e-02
53 9.211646e-02 1.853860e-02
54 9.113533e-02 1.818503e-02
55 9.016932e-02 1.784424e-02
56 8.921797e-02 1.751561e-02
57 8.828081e-02 1.719856e-02
58 8.735741e-02 1.689254e-02
59 8.644737e-02 1.659702e-02
60 8.555027e-02 1.631150e-02
61 8.466577e-02 1.603552e-02
62 8.379349e-02 1.576864e-02
63 8.293311e-02 1.551043e-02
64 8.208431e-02 1.526050e-02
65 8.124677e-02 1.501845e-02
66 8.042021e-02 1.478393e-02
67 7.960435e-02 1.455660e-02
68 7.879893e-02 1.433613e-02
69 7.800369e-02 1.412220e-02
70 7.721839e-02 1.391453e-02
71 7.644281e-02 1.371283e-02
72 7.567671e-02 1.351683e-02
73 7.491990e-02 1.332628e-02
74 7.417216e-02 1.314094e-02
75 7.343331e-02 1.296058e-02
76 7.270316e-02 1.278498e-02
77 7.198153e-02 1.261392e-02
78 7.126826e-02 1.244722e-02
79 7.056317e-02 1.228468e-02
80 6.986611e-02 1.212613e-02
81 6.917694e-02 1.197139e-02
82 6.849549e-02 1.182030e-02
83 6.782165e-02 1.167271e-02
84 6.715526e-02 1.152848e-02
85 6.649621e-02 1.138746e-02
86 6.584436e-02 1.124952e-02
87 6.519960e-02 1.111454e-02
88 6.456181e-02 1.098240e-02
89 6.393088e-02 1.085298e-02
90 6.330669e-02 1.072617e-02
91 6.268914e-02 1.060188e-02
92 6.207814e-02 1.048001e-02
93 6.147358e-02 1.036047e-02
94 6.087537e-02 1.024316e-02
95 6.028342e-02 1.012801e-02
96 5.969762e-02 1.001493e-02
97 5.911791e-02 9.903853e-03
98 5.854419e-02 9.794705e-03
99 5.797638e-02 9.687420e-03
100 5.741440e-02 9.581931e-03
101 5.685817e-02 9.478179e-03
102 5.630762e-02 9.376105e-03
103 5.576267e-02 9.275653e-03
104 5.522326e-02 9.176772e-03
105 5.468930e-02 9.079410e-03
106 5.416073e-02 8.983522e-03
107 5.363749e-02 8.889061e-03
108 5.311951e-02 8.795984e-03
109 5.260672e-02 8.704251e-03
110 5.209907e-02 8.613823e-03
111 5.159648e-02 8.524662e-03
112 5.109891e-02 8.436733e-03
113 5.060629e-02 8.350003e-03
114 5.011856e-02 8.264439e-03
115 4.963567e-02 8.180010e-03
116 4.915757e-02 8.096689e-03
117 4.868419e-02 8.014445e-03
118 4.821549e-02 7.933254e-03
119 4.775141e-02 7.853089e-03
120 4.729190e-02 7.773927e-03
121 4.683692e-02 7.695743e-03
122 4.638640e-02 7.618516e-03
123 4.594031e-02 7.542225e-03
124 4.549860e-02 7.466850e-03
125 4.506121e-02 7.392369e-03
126 4.462810e-02 7.318766e-03
127 4.419923e-02 7.246022e-03
128 4.377455e-02 7.174120e-03
129 4.335402e-02 7.103044e-03
130 4.293759e-02 7.032777e-03
131 4.252522e-02 6.963304e-03
132 4.211687e-02 6.894611e-03
133 4.171249e-02 6.826684e-03
134 4.131205e-02 6.759508e-03
135 4.091550e-02 6.693072e-03
136 4.052281e-02 6.627361e-03
137 4.013393e-02 6.562365e-03
138 3.974882e-02 6.498072e-03
139 3.936746e-02 6.434469e-03
140 3.898979e-02 6.371547e-03
141 3.861578e-02 6.309293e-03
142 3.824540e-02 6.247699e-03
143 3.787861e-02 6.186755e-03
144 3.751537e-02 6.126450e-03
145 3.715564e-02 6.066775e-03
146 3.679940e-02 6.007721e-03
147 3.644660e-02 5.949280e-03
148 3.609721e-02 5.891443e-03
149 3.575120e-02 5.834201e-03
150 3.540854e-02 5.777547e-03
151 3.506918e-02 5.721472e-03
152 3.473311e-02 5.665970e-03
153 3.440028e-02 5.611031e-03
154 3.407066e-02 5.556651e-03
155 3.374423e-02 5.502820e-03
156 3.342095e-02 5.449532e-03
157 3.310078e-02 5.396781e-03
158 3.278371e-02 5.344560e-03
159 3.246969e-02 5.292862e-03
160 3.215871e-02 5.241681e-03
161 3.185072e-02 5.191011e-03
162 3.154570e-02 5.140846e-03
163 3.124362e-02 5.091180e-03
164 3.094445e-02 5.042007e-03
165 3.064817e-02 4.993322e-03
166 3.035474e-02 4.945119e-03
167 3.006414e-02 4.897392e-03
168 2.977634e-02 4.850136e-03
169 2.949131e-02 4.803345e-03
170 2.920903e-02 4.757016e-03
171 2.892946e-02 4.711142e-03
172 2.865259e-02 4.665719e-03
173 2.837838e-02 4.620741e-03
174 2.810682e-02 4.576204e-03
175 2.783787e-02 4.532103e-03
176 2.757151e-02 4.488434e-03
177 2.730771e-02 4.445191e-03
178 2.704645e-02 4.402370e-03
179 2.678771e-02 4.359968e-03
180 2.653145e-02 4.317979e-03
181 2.627767e-02 4.276399e-03
182 2.602632e-02 4.235224e-03
183 2.577740e-02 4.194449e-03
184 2.553087e-02 4.154071e-03
185 2.528671e-02 4.114085e-03
186 2.504490e-02 4.074488e-03
187 2.480542e-02 4.035275e-03
188 2.456824e-02 3.996443e-03
189 2.433335e-02 3.957987e-03
190 2.410071e-02 3.919904e-03
191 2.387031e-02 3.882189e-03
192 2.364213e-02 3.844841e-03
193 2.341615e-02 3.807853e-03
194 2.319233e-02 3.771224e-03
195 2.297068e-02 3.734949e-03
196 2.275115e-02 3.699025e-03
197 2.253373e-02 3.663448e-03
198 2.231841e-02 3.628215e-03
199 2.210516e-02 3.593322e-03
200 2.189395e-02 3.558767e-03
201 2.168478e-02 3.524545e-03
202 2.147762e-02 3.490653e-03
203 2.127246e-02 3.457089e-03
204 2.106927e-02 3.423849e-03
205 2.086803e-02 3.390929e-03
206 2.066872e-02 3.358327e-03
207 2.047134e-02 3.326039e-03
208 2.027585e-02 3.294062e-03
209 2.008224e-02 3.262394e-03
210 1.989049e-02 3.231031e-03
211 1.970059e-02 3.199971e-03
212 1.951252e-02 3.169209e-03
213 1.932625e-02 3.138744e-03
214 1.914177e-02 3.108573e-03
215 1.895907e-02 3.078692e-03
216 1.877813e-02 3.049099e-03
217 1.859892e-02 3.019791e-03
218 1.842144e-02 2.990765e-03
219 1.824567e-02 2.962018e-03
220 1.807159e-02 2.933549e-03
221 1.789918e-02 2.905353e-03
222 1.772842e-02 2.877429e-03
223 1.755932e-02 2.849773e-03
224 1.739183e-02 2.822384e-03
225 1.722596e-02 2.795258e-03
226 1.706168e-02 2.768393e-03
227 1.689899e-02 2.741787e-03
228 1.673785e-02 2.715436e-03
229 1.657827e-02 2.689339e-03
230 1.642022e-02 2.663493e-03
231 1.626369e-02 2.637896e-03
232 1.610867e-02 2.612545e-03
233 1.595514e-02 2.587438e-03
234 1.580309e-02 2.562572e-03
235 1.565249e-02 2.537946e-03
236 1.550335e-02 2.513556e-03
237 1.535564e-02 2.489401e-03
238 1.520935e-02 2.465478e-03
239 1.506447e-02 2.441785e-03
240 1.492098e-02 2.418320e-03
241 1.477887e-02 2.395080e-03
242 1.463813e-02 2.372064e-03
243 1.449874e-02 2.349270e-03
244 1.436069e-02 2.326694e-03
245 1.422397e-02 2.304335e-03
246 1.408857e-02 2.282192e-03
247 1.395446e-02 2.260261e-03
248 1.382165e-02 2.238541e-03
249 1.369012e-02 2.217030e-03
250 1.355985e-02 2.195726e-03
251 1.343083e-02 2.174626e-03
252 1.330306e-02 2.153729e-03
253 1.317651e-02 2.133033e-03
254 1.305118e-02 2.112536e-03
255 1.292706e-02 2.092237e-03
256 1.280413e-02 2.072132e-03
257 1.268238e-02 2.052220e-03
258 1.256181e-02 2.032500e-03
259 1.244239e-02 2.012969e-03
260 1.232413e-02 1.993626e-03
261 1.220700e-02 1.974469e-03
262 1.209100e-02 1.955496e-03
263 1.197611e-02 1.936706e-03
264 1.186233e-02 1.918096e-03
265 1.174965e-02 1.899664e-03
266 1.163805e-02 1.881410e-03
267 1.152752e-02 1.863332e-03
268 1.141806e-02 1.845427e-03
269 1.130965e-02 1.827694e-03
270 1.120228e-02 1.810132e-03
271 1.109595e-02 1.792738e-03
272 1.099064e-02 1.775512e-03
273 1.088634e-02 1.758451e-03
274 1.078305e-02 1.741554e-03
275 1.068075e-02 1.724820e-03
276 1.057943e-02 1.708246e-03
277 1.047909e-02 1.691831e-03
278 1.037972e-02 1.675575e-03
279 1.028130e-02 1.659474e-03
280 1.018383e-02 1.643528e-03
281 1.008730e-02 1.627736e-03
282 9.991699e-03 1.612095e-03
283 9.897017e-03 1.596604e-03
284 9.803247e-03 1.581263e-03
285 9.710379e-03 1.566069e-03
286 9.618405e-03 1.551020e-03
287 9.527317e-03 1.536117e-03
288 9.437106e-03 1.521356e-03
289 9.347764e-03 1.506738e-03
290 9.259282e-03 1.492260e-03
291 9.171652e-03 1.477921e-03
292 9.084865e-03 1.463720e-03
293 8.998915e-03 1.449655e-03
294 8.913792e-03 1.435725e-03
295 8.829489e-03 1.421930e-03
296 8.745998e-03 1.408267e-03
297 8.663311e-03 1.394735e-03
298 8.581420e-03 1.381333e-03
299 8.500319e-03 1.368060e-03
300 8.419998e-03 1.354914e-03
301 8.340452e-03 1.341895e-03
302 8.261671e-03 1.329001e-03
303 8.183650e-03 1.316231e-03
304 8.106380e-03 1.303584e-03
305 8.029855e-03 1.291058e-03
306 7.954067e-03 1.278652e-03
307 7.879010e-03 1.266366e-03
308 7.804676e-03 1.254197e-03
309 7.731058e-03 1.242146e-03
310 7.658149e-03 1.230210e-03
311 7.585944e-03 1.218390e-03
312 7.514434e-03 1.206682e-03
313 7.443614e-03 1.195087e-03
314 7.373476e-03 1.183604e-03
315 7.304015e-03 1.172231e-03
316 7.235223e-03 1.160967e-03
317 7.167094e-03 1.149812e-03
318 7.099623e-03 1.138763e-03
319 7.032802e-03 1.127821e-03
320 6.966625e-03 1.116984e-03
321 6.901087e-03 1.106251e-03
322 6.836180e-03 1.095621e-03
323 6.771900e-03 1.085094e-03
324 6.708240e-03 1.074667e-03
325 6.645194e-03 1.064341e-03
326 6.582756e-03 1.054114e-03
327 6.520921e-03 1.043985e-03
328 6.459682e-03 1.033954e-03
329 6.399034e-03 1.024019e-03
330 6.338972e-03 1.014179e-03
331 6.279489e-03 1.004434e-03
332 6.220580e-03 9.947826e-04
333 6.162240e-03 9.852239e-04
334 6.104463e-03 9.757571e-04
335 6.047244e-03 9.663812e-04
336 5.990577e-03 9.570954e-04
337 5.934458e-03 9.478989e-04
338 5.878880e-03 9.387907e-04
339 5.823839e-03 9.297700e-04
340 5.769330e-03 9.208360e-04
341 5.715348e-03 9.119879e-04
342 5.661887e-03 9.032248e-04
343 5.608942e-03 8.945459e-04
344 5.556509e-03 8.859503e-04
345 5.504583e-03 8.774374e-04
346 5.453159e-03 8.690063e-04
347 5.402232e-03 8.606561e-04
348 5.351797e-03 8.523863e-04
349 5.301849e-03 8.441958e-04
350 5.252385e-03 8.360841e-04
351 5.203399e-03 8.280504e-04
352 5.154886e-03 8.200938e-04
353 5.106843e-03 8.122137e-04
354 5.059265e-03 8.044092e-04
355 5.012147e-03 7.966798e-04
356 4.965485e-03 7.890247e-04
357 4.919274e-03 7.814431e-04
358 4.873511e-03 7.739344e-04
359 4.828191e-03 7.664978e-04
360 4.783309e-03 7.591326e-04
361 4.738862e-03 7.518383e-04
362 4.694846e-03 7.446140e-04
363 4.651255e-03 7.374592e-04
364 4.608087e-03 7.303731e-04
365 4.565338e-03 7.233550e-04
366 4.523002e-03 7.164045e-04
367 4.481077e-03 7.095207e-04
368 4.439558e-03 7.027030e-04
369 4.398441e-03 6.959509e-04
370 4.357724e-03 6.892636e-04
371 4.317401e-03 6.826406e-04
372 4.277469e-03 6.760813e-04
373 4.237925e-03 6.695849e-04
374 4.198764e-03 6.631510e-04
375 4.159983e-03 6.567789e-04
376 4.121579e-03 6.504681e-04
