# step err_l2 res_l2
0 2.449623e-01 1.000000e+00
1 1.605892e-01 4.491425e-01
2 1.298796e-01 3.483970e-01
3 1.046967e-01 2.598826e-01
4 8.873151e-02 2.384663e-01
5 7.598599e-02 2.497832e-01
6 6.570063e-02 2.689170e-01
7 5.712091e-02 2.891617e-01
8 4.988539e-02 3.087603e-01
9 4.373608e-02 3.257913e-01
10 3.845519e-02 3.379687e-01
11 3.386805e-02 3.435030e-01
12 2.983527e-02 3.416163e-01
13 2.625366e-02 3.325538e-01
14 2.305007e-02 3.173129e-01
15 2.017468e-02 2.973033e-01
16 1.759304e-02 2.740521e-01
17 1.528064e-02 2.489976e-01
18 1.321908e-02 2.233698e-01
19 1.139332e-02 1.981431e-01
20 9.789332e-03 1.740347e-01
21 8.392578e-03 1.515290e-01
22 7.187540e-03 1.309150e-01
23 6.157868e-03 1.123277e-01
24 5.286839e-03 9.578625e-02
25 4.557830e-03 8.122847e-02
26 3.954677e-03 6.853815e-02
27 3.461899e-03 5.756700e-02
28 3.064779e-03 4.815103e-02
29 2.749393e-03 4.012221e-02
30 2.502648e-03 3.331651e-02
31 2.312382e-03 2.757904e-02
32 2.167568e-03 2.276702e-02
33 2.058489e-03 1.875111e-02
34 1.976937e-03 1.541581e-02
35 1.916214e-03 1.265899e-02
36 1.871051e-03 1.039110e-02
37 1.837318e-03 8.534039e-03
38 1.812097e-03 7.020055e-03
39 1.792911e-03 5.790559e-03
40 1.778470e-03 4.795119e-03
41 1.767066e-03 3.990570e-03
42 1.758585e-03 3.340274e-03
43 1.751396e-03 2.813516e-03
44 1.746387e-03 2.384936e-03
45 1.741531e-03 2.034016e-03
46 1.738674e-03 1.744446e-03
47 1.735149e-03 1.503547e-03
48 1.733683e-03 1.301545e-03
49 1.730951e-03 1.131015e-03
50 1.730387e-03 9.862253e-04
51 1.728200e-03 8.627579e-04
52 1.728113e-03 7.570356e-04
53 1.726460e-03 6.661691e-04
54 1.726444e-03 5.876689e-04
55 1.725440e-03 5.194733e-04
56 1.725141e-03 4.597956e-04
57 1.724930e-03 4.071949e-04
58 1.724078e-03 3.604969e-04
59 1.724758e-03 3.187859e-04
60 1.723204e-03 2.813843e-04
61 1.724767e-03 2.477425e-04
62 1.722511e-03 2.174975e-04
63 1.724825e-03 1.902947e-04
64 1.722006e-03 1.659257e-04
65 1.724844e-03 1.441178e-04
66 1.721692e-03 1.247235e-04
67 1.724782e-03 1.075006e-04
68 1.721551e-03 9.232174e-05
69 1.724640e-03 7.896093e-05
70 1.721549e-03 6.729880e-05
71 1.724439e-03 5.712676e-05
72 1.721641e-03 4.833329e-05
73 1.724208e-03 4.073197e-05
74 1.721789e-03 3.422239e-05
75 1.723974e-03 2.864400e-05
76 1.721957e-03 2.391022e-05
77 1.723754e-03 1.988752e-05
78 1.722125e-03 1.650428e-05
79 1.723561e-03 1.365279e-05
80 1.722277e-03 1.127593e-05
81 1.723397e-03 9.289055e-06
82 1.722408e-03 7.647990e-06
83 1.723264e-03 6.287677e-06
84 1.722516e-03 5.174771e-06
85 1.723159e-03 4.260154e-06
86 1.722601e-03 3.519052e-06
87 1.723077e-03 2.914908e-06
88 1.722668e-03 2.429452e-06
89 1.723015e-03 2.035851e-06
90 1.722718e-03 1.720732e-06
91 1.722969e-03 1.464853e-06
92 1.722755e-03 1.258728e-06
93 1.722935e-03 1.089194e-06
94 1.722783e-03 9.500048e-07
95 1.722910e-03 8.327841e-07
96 1.722803e-03 7.338374e-07
97 1.722893e-03 6.482292e-07
98 1.722817e-03 5.739920e-07
99 1.722880e-03 5.083696e-07
100 1.722828e-03 4.503770e-07
101 1.722871e-03 3.984889e-07
102 1.722835e-03 3.521969e-07
103 1.722865e-03 3.106162e-07
104 1.722840e-03 2.734375e-07
105 1.722860e-03 2.400951e-07
106 1.722843e-03 2.103512e-07
107 1.722857e-03 1.838003e-07
108 1.722846e-03 1.602281e-07
109 1.722855e-03 1.393154e-07
110 1.722847e-03 1.208599e-07
111 1.722854e-03 1.045968e-07
112 1.722849e-03 9.033675e-08
113 1.722853e-03 7.785651e-08
114 1.722849e-03 6.698390e-08
115 1.722852e-03 5.753119e-08
116 1.722850e-03 4.934713e-08
117 1.722852e-03 4.227583e-08
118 1.722850e-03 3.618858e-08
119 1.722851e-03 3.095820e-08
120 1.722850e-03 2.647828e-08
121 1.722851e-03 2.264701e-08
122 1.722851e-03 1.937870e-08
123 1.722851e-03 1.659347e-08
124 1.722851e-03 1.422396e-08
125 1.722851e-03 1.220874e-08
126 1.722851e-03 1.049609e-08
127 1.722851e-03 9.039760e-09
