# step err_l2 res_l2
0 2.463813e-01 1.000000e+00
1 2.405168e-01 2.344076e-01
2 2.378159e-01 1.355478e-01
3 2.358052e-01 9.914100e-02
4 2.341329e-01 7.957630e-02
5 2.326726e-01 6.715142e-02
6 2.313610e-01 5.847332e-02
7 2.301616e-01 5.202563e-02
8 2.290503e-01 4.702208e-02
9 2.280110e-01 4.301164e-02
10 2.270317e-01 3.971588e-02
11 2.261034e-01 3.695302e-02
12 2.252194e-01 3.459902e-02
13 2.243741e-01 3.256613e-02
14 2.235631e-01 3.079047e-02
15 2.227827e-01 2.922429e-02
16 2.220299e-01 2.783119e-02
17 2.213021e-01 2.658288e-02
18 2.205972e-01 2.545701e-02
19 2.199132e-01 2.443570e-02
20 2.192485e-01 2.350445e-02
21 2.186017e-01 2.265136e-02
22 2.179714e-01 2.186660e-02
23 2.173566e-01 2.114193e-02
24 2.167563e-01 2.047041e-02
25 2.161696e-01 1.984617e-02
26 2.155956e-01 1.926416e-02
27 2.150336e-01 1.872007e-02
28 2.144830e-01 1.821014e-02
29 2.139431e-01 1.773112e-02
30 2.134135e-01 1.728016e-02
31 2.128935e-01 1.685475e-02
32 2.123827e-01 1.645270e-02
33 2.118808e-01 1.607204e-02
34 2.113872e-01 1.571103e-02
35 2.109016e-01 1.536813e-02
36 2.104238e-01 1.504195e-02
37 2.099533e-01 1.473124e-02
38 2.094898e-01 1.443487e-02
39 2.090332e-01 1.415183e-02
40 2.085831e-01 1.388120e-02
41 2.081392e-01 1.362214e-02
42 2.077014e-01 1.337390e-02
43 2.072695e-01 1.313578e-02
44 2.068432e-01 1.290714e-02
45 2.064223e-01 1.268741e-02
46 2.060067e-01 1.247605e-02
47 2.055962e-01 1.227257e-02
48 2.051906e-01 1.207651e-02
49 2.047898e-01 1.188746e-02
50 2.043936e-01 1.170504e-02
51 2.040019e-01 1.152888e-02
52 2.036146e-01 1.135865e-02
53 2.032315e-01 1.119404e-02
54 2.028526e-01 1.103477e-02
55 2.024776e-01 1.088057e-02
56 2.021065e-01 1.073118e-02
57 2.017392e-01 1.058639e-02
58 2.013756e-01 1.044596e-02
59 2.010156e-01 1.030970e-02
60 2.006591e-01 1.017741e-02
61 2.003060e-01 1.004891e-02
62 1.999562e-01 9.924042e-03
63 1.996097e-01 9.802638e-03
64 1.992663e-01 9.684552e-03
65 1.989261e-01 9.569643e-03
66 1.985889e-01 9.457778e-03
67 1.982546e-01 9.348832e-03
68 1.979232e-01 9.242688e-03
69 1.975947e-01 9.139233e-03
70 1.972689e-01 9.038361e-03
71 1.969458e-01 8.939972e-03
72 1.966254e-01 8.843972e-03
73 1.963076e-01 8.750270e-03
74 1.959923e-01 8.658781e-03
75 1.956796e-01 8.569423e-03
76 1.953692e-01 8.482120e-03
77 1.950613e-01 8.396797e-03
78 1.947556e-01 8.313385e-03
79 1.944523e-01 8.231818e-03
80 1.941513e-01 8.152032e-03
81 1.938525e-01 8.073966e-03
