# step err_l2 res_l2
0 2.463645e-01 1.000000e+00
1 2.334745e-01 1.710987e-01
2 2.285715e-01 9.880994e-02
3 2.248251e-01 7.163109e-02
4 2.216884e-01 5.713547e-02
5 2.189445e-01 4.800007e-02
6 2.164808e-01 4.165616e-02
7 2.142301e-01 3.696273e-02
8 2.121484e-01 3.333211e-02
9 2.102051e-01 3.042919e-02
10 2.083778e-01 2.804812e-02
11 2.066495e-01 2.605505e-02
12 2.050072e-01 2.435896e-02
13 2.034403e-01 2.289568e-02
14 2.019404e-01 2.161857e-02
15 2.005003e-01 2.049286e-02
16 1.991143e-01 1.949210e-02
17 1.977774e-01 1.859574e-02
18 1.964852e-01 1.778759e-02
19 1.952342e-01 1.705472e-02
20 1.940211e-01 1.638664e-02
21 1.928432e-01 1.577475e-02
22 1.916979e-01 1.521196e-02
23 1.905831e-01 1.469233e-02
24 1.894968e-01 1.421086e-02
25 1.884372e-01 1.376331e-02
26 1.874028e-01 1.334606e-02
27 1.863921e-01 1.295600e-02
28 1.854038e-01 1.259044e-02
29 1.844367e-01 1.224703e-02
30 1.834897e-01 1.192373e-02
31 1.825619e-01 1.161874e-02
32 1.816523e-01 1.133048e-02
33 1.807601e-01 1.105754e-02
34 1.798844e-01 1.079869e-02
35 1.790246e-01 1.055279e-02
36 1.781800e-01 1.031887e-02
37 1.773499e-01 1.009603e-02
38 1.765338e-01 9.883448e-03
39 1.757311e-01 9.680413e-03
40 1.749413e-01 9.486261e-03
41 1.741640e-01 9.300394e-03
42 1.733985e-01 9.122268e-03
43 1.726447e-01 8.951385e-03
44 1.719019e-01 8.787291e-03
45 1.711699e-01 8.629571e-03
46 1.704483e-01 8.477841e-03
47 1.697368e-01 8.331751e-03
48 1.690350e-01 8.190976e-03
49 1.683426e-01 8.055218e-03
50 1.676594e-01 7.924199e-03
51 1.669850e-01 7.797664e-03
52 1.663193e-01 7.675375e-03
53 1.656619e-01 7.557112e-03
54 1.650126e-01 7.442668e-03
55 1.643712e-01 7.331854e-03
56 1.637375e-01 7.224489e-03
57 1.631113e-01 7.120409e-03
58 1.624923e-01 7.019456e-03
59 1.618804e-01 6.921486e-03
60 1.612754e-01 6.826360e-03
61 1.606772e-01 6.733951e-03
62 1.600855e-01 6.644139e-03
63 1.595002e-01 6.556810e-03
64 1.589211e-01 6.471857e-03
65 1.583482e-01 6.389179e-03
66 1.577812e-01 6.308683e-03
67 1.572200e-01 6.230278e-03
68 1.566645e-01 6.153880e-03
69 1.561146e-01 6.079409e-03
70 1.555701e-01 6.006789e-03
71 1.550310e-01 5.935949e-03
72 1.544970e-01 5.866820e-03
73 1.539681e-01 5.799339e-03
74 1.534443e-01 5.733444e-03
75 1.529253e-01 5.669078e-03
76 1.524111e-01 5.606184e-03
77 1.519016e-01 5.544710e-03
78 1.513967e-01 5.484607e-03
79 1.508963e-01 5.425827e-03
80 1.504003e-01 5.368324e-03
81 1.499086e-01 5.312055e-03
82 1.494213e-01 5.256978e-03
83 1.489381e-01 5.203056e-03
84 1.484589e-01 5.150249e-03
85 1.479839e-01 5.098521e-03
86 1.475127e-01 5.047839e-03
87 1.470455e-01 4.998169e-03
88 1.465820e-01 4.949480e-03
89 1.461223e-01 4.901741e-03
90 1.456663e-01 4.854924e-03
91 1.452139e-01 4.809001e-03
92 1.447651e-01 4.763945e-03
93 1.443197e-01 4.719731e-03
94 1.438778e-01 4.676333e-03
95 1.434393e-01 4.633729e-03
96 1.430041e-01 4.591896e-03
97 1.425722e-01 4.550812e-03
98 1.421435e-01 4.510456e-03
99 1.417179e-01 4.470809e-03
100 1.412955e-01 4.431849e-03
101 1.408762e-01 4.393560e-03
102 1.404599e-01 4.355923e-03
103 1.400465e-01 4.318920e-03
104 1.396362e-01 4.282535e-03
105 1.392286e-01 4.246752e-03
106 1.388240e-01 4.211556e-03
107 1.384221e-01 4.176930e-03
108 1.380230e-01 4.142861e-03
109 1.376267e-01 4.109335e-03
110 1.372330e-01 4.076339e-03
111 1.368420e-01 4.043858e-03
112 1.364536e-01 4.011882e-03
113 1.360677e-01 3.980397e-03
114 1.356844e-01 3.949391e-03
115 1.353036e-01 3.918854e-03
116 1.349253e-01 3.888774e-03
117 1.345494e-01 3.859140e-03
118 1.341759e-01 3.829943e-03
119 1.338048e-01 3.801172e-03
120 1.334360e-01 3.772817e-03
121 1.330695e-01 3.744870e-03
122 1.327053e-01 3.717320e-03
123 1.323434e-01 3.690160e-03
124 1.319837e-01 3.663380e-03
125 1.316261e-01 3.636972e-03
126 1.312708e-01 3.610929e-03
127 1.309175e-01 3.585242e-03
128 1.305664e-01 3.559904e-03
129 1.302174e-01 3.534907e-03
130 1.298704e-01 3.510244e-03
131 1.295255e-01 3.485909e-03
132 1.291826e-01 3.461894e-03
133 1.288416e-01 3.438193e-03
134 1.285026e-01 3.414800e-03
135 1.281656e-01 3.391708e-03
136 1.278304e-01 3.368911e-03
137 1.274972e-01 3.346404e-03
138 1.271658e-01 3.324181e-03
139 1.268363e-01 3.302236e-03
140 1.265086e-01 3.280563e-03
141 1.261827e-01 3.259159e-03
142 1.258586e-01 3.238016e-03
