# step err_l2 res_l2
0 2.460291e-01 1.000000e+00
1 2.238654e-01 3.776705e-01
2 2.151671e-01 1.994055e-01
3 2.094429e-01 1.426163e-01
4 2.048152e-01 1.166034e-01
5 2.007896e-01 1.004237e-01
6 1.971740e-01 8.879871e-02
7 1.938688e-01 7.986117e-02
8 1.908120e-01 7.271716e-02
9 1.879607e-01 6.685295e-02
10 1.852834e-01 6.194121e-02
11 1.827559e-01 5.775996e-02
12 1.803591e-01 5.415226e-02
13 1.780777e-01 5.100367e-02
14 1.758991e-01 4.822869e-02
15 1.738129e-01 4.576206e-02
16 1.718102e-01 4.355313e-02
17 1.698837e-01 4.156191e-02
18 1.680268e-01 3.975642e-02
19 1.662340e-01 3.811075e-02
20 1.645003e-01 3.660370e-02
21 1.628216e-01 3.521770e-02
22 1.611939e-01 3.393811e-02
23 1.596138e-01 3.275259e-02
24 1.580785e-01 3.165067e-02
25 1.565850e-01 3.062342e-02
26 1.551309e-01 2.966316e-02
27 1.537140e-01 2.876325e-02
28 1.523323e-01 2.791791e-02
29 1.509839e-01 2.712211e-02
30 1.496670e-01 2.637140e-02
31 1.483801e-01 2.566190e-02
32 1.471218e-01 2.499014e-02
33 1.458907e-01 2.435305e-02
34 1.446856e-01 2.374789e-02
35 1.435053e-01 2.317220e-02
36 1.423488e-01 2.262380e-02
37 1.412150e-01 2.210069e-02
38 1.401031e-01 2.160108e-02
39 1.390121e-01 2.112335e-02
40 1.379412e-01 2.066603e-02
41 1.368896e-01 2.022779e-02
42 1.358567e-01 1.980738e-02
43 1.348418e-01 1.940371e-02
44 1.338441e-01 1.901575e-02
45 1.328632e-01 1.864255e-02
46 1.318984e-01 1.828325e-02
47 1.309491e-01 1.793706e-02
48 1.300150e-01 1.760325e-02
49 1.290953e-01 1.728112e-02
50 1.281898e-01 1.697006e-02
51 1.272980e-01 1.666948e-02
52 1.264194e-01 1.637884e-02
53 1.255536e-01 1.609763e-02
54 1.247003e-01 1.582539e-02
55 1.238591e-01 1.556169e-02
56 1.230296e-01 1.530610e-02
57 1.222115e-01 1.505826e-02
58 1.214045e-01 1.481779e-02
59 1.206082e-01 1.458438e-02
60 1.198225e-01 1.435771e-02
61 1.190469e-01 1.413748e-02
62 1.182813e-01 1.392341e-02
63 1.175253e-01 1.371525e-02
64 1.167788e-01 1.351276e-02
65 1.160414e-01 1.331569e-02
66 1.153130e-01 1.312384e-02
67 1.145932e-01 1.293700e-02
68 1.138820e-01 1.275497e-02
69 1.131791e-01 1.257758e-02
70 1.124843e-01 1.240464e-02
71 1.117974e-01 1.223599e-02
72 1.111182e-01 1.207149e-02
73 1.104466e-01 1.191097e-02
74 1.097823e-01 1.175431e-02
75 1.091253e-01 1.160136e-02
76 1.084752e-01 1.145200e-02
77 1.078321e-01 1.130610e-02
78 1.071957e-01 1.116357e-02
79 1.065659e-01 1.102427e-02
80 1.059425e-01 1.088812e-02
81 1.053254e-01 1.075500e-02
82 1.047145e-01 1.062483e-02
83 1.041096e-01 1.049752e-02
84 1.035107e-01 1.037297e-02
85 1.029176e-01 1.025110e-02
86 1.023301e-01 1.013184e-02
87 1.017482e-01 1.001510e-02
88 1.011718e-01 9.900811e-03
89 1.006007e-01 9.788906e-03
90 1.000348e-01 9.679315e-03
91 9.947414e-02 9.571972e-03
92 9.891849e-02 9.466816e-03
93 9.836779e-02 9.363784e-03
94 9.782194e-02 9.262820e-03
95 9.728087e-02 9.163868e-03
96 9.674448e-02 9.066872e-03
97 9.621268e-02 8.971781e-03
98 9.568539e-02 8.878545e-03
99 9.516254e-02 8.787114e-03
100 9.464404e-02 8.697443e-03
101 9.412982e-02 8.609485e-03
102 9.361981e-02 8.523196e-03
103 9.311393e-02 8.438534e-03
104 9.261211e-02 8.355458e-03
105 9.211429e-02 8.273927e-03
106 9.162039e-02 8.193904e-03
107 9.113036e-02 8.115350e-03
108 9.064413e-02 8.038229e-03
109 9.016164e-02 7.962506e-03
110 8.968282e-02 7.888146e-03
111 8.920763e-02 7.815117e-03
112 8.873601e-02 7.743385e-03
113 8.826789e-02 7.672920e-03
114 8.780323e-02 7.603691e-03
115 8.734198e-02 7.535668e-03
116 8.688407e-02 7.468823e-03
117 8.642947e-02 7.403126e-03
118 8.597813e-02 7.338552e-03
119 8.552999e-02 7.275073e-03
120 8.508501e-02 7.212664e-03
121 8.464315e-02 7.151299e-03
122 8.420436e-02 7.090954e-03
123 8.376859e-02 7.031604e-03
124 8.333582e-02 6.973228e-03
125 8.290599e-02 6.915801e-03
126 8.247907e-02 6.859302e-03
127 8.205502e-02 6.803709e-03
128 8.163379e-02 6.749002e-03
129 8.121536e-02 6.695160e-03
130 8.079969e-02 6.642162e-03
131 8.038673e-02 6.589990e-03
132 7.997647e-02 6.538625e-03
133 7.956885e-02 6.488048e-03
134 7.916386e-02 6.438241e-03
135 7.876145e-02 6.389186e-03
136 7.836160e-02 6.340867e-03
137 7.796428e-02 6.293266e-03
138 7.756945e-02 6.246368e-03
139 7.717709e-02 6.200156e-03
140 7.678717e-02 6.154615e-03
141 7.639965e-02 6.109730e-03
142 7.601452e-02 6.065486e-03
143 7.563174e-02 6.021869e-03
144 7.525129e-02 5.978864e-03
145 7.487315e-02 5.936459e-03
146 7.449728e-02 5.894639e-03
147 7.412367e-02 5.853392e-03
148 7.375228e-02 5.812704e-03
149 7.338310e-02 5.772564e-03
150 7.301610e-02 5.732960e-03
151 7.265127e-02 5.693879e-03
152 7.228857e-02 5.655310e-03
153 7.192799e-02 5.617243e-03
154 7.156950e-02 5.579665e-03
155 7.121309e-02 5.542566e-03
156 7.085873e-02 5.505937e-03
157 7.050640e-02 5.469766e-03
158 7.015609e-02 5.434044e-03
159 6.980777e-02 5.398761e-03
160 6.946143e-02 5.363908e-03
161 6.911705e-02 5.329476e-03
162 6.877460e-02 5.295455e-03
163 6.843408e-02 5.261838e-03
164 6.809546e-02 5.228614e-03
165 6.775873e-02 5.195777e-03
166 6.742387e-02 5.163318e-03
167 6.709087e-02 5.131229e-03
168 6.675970e-02 5.099502e-03
169 6.643035e-02 5.068130e-03
170 6.610281e-02 5.037106e-03
171 6.577706e-02 5.006422e-03
172 6.545308e-02 4.976072e-03
173 6.513087e-02 4.946048e-03
174 6.481040e-02 4.916345e-03
175 6.449166e-02 4.886955e-03
176 6.417465e-02 4.857872e-03
177 6.385933e-02 4.829091e-03
178 6.354571e-02 4.800605e-03
179 6.323376e-02 4.772408e-03
180 6.292348e-02 4.744496e-03
181 6.261485e-02 4.716861e-03
182 6.230786e-02 4.689499e-03
183 6.200249e-02 4.662405e-03
184 6.169874e-02 4.635573e-03
185 6.139659e-02 4.608998e-03
186 6.109603e-02 4.582676e-03
187 6.079705e-02 4.556602e-03
188 6.049963e-02 4.530771e-03
189 6.020377e-02 4.505179e-03
190 5.990945e-02 4.479821e-03
191 5.961666e-02 4.454692e-03
192 5.932540e-02 4.429790e-03
193 5.903564e-02 4.405109e-03
194 5.874739e-02 4.380646e-03
195 5.846063e-02 4.356397e-03
196 5.817535e-02 4.332357e-03
197 5.789153e-02 4.308524e-03
198 5.760918e-02 4.284894e-03
199 5.732827e-02 4.261463e-03
200 5.704881e-02 4.238228e-03
201 5.677077e-02 4.215185e-03
202 5.649416e-02 4.192331e-03
203 5.621896e-02 4.169664e-03
204 5.594516e-02 4.147179e-03
205 5.567275e-02 4.124875e-03
206 5.540172e-02 4.102747e-03
207 5.513208e-02 4.080794e-03
208 5.486379e-02 4.059011e-03
209 5.459687e-02 4.037398e-03
210 5.433129e-02 4.015950e-03
211 5.406706e-02 3.994666e-03
212 5.380416e-02 3.973543e-03
213 5.354258e-02 3.952578e-03
214 5.328231e-02 3.931768e-03
215 5.302336e-02 3.911113e-03
216 5.276570e-02 3.890608e-03
217 5.250934e-02 3.870253e-03
218 5.225426e-02 3.850045e-03
219 5.200046e-02 3.829981e-03
220 5.174792e-02 3.810060e-03
221 5.149665e-02 3.790279e-03
222 5.124663e-02 3.770637e-03
223 5.099785e-02 3.751132e-03
224 5.075031e-02 3.731762e-03
225 5.050401e-02 3.712524e-03
226 5.025893e-02 3.693418e-03
227 5.001507e-02 3.674441e-03
228 4.977241e-02 3.655591e-03
229 4.953096e-02 3.636868e-03
230 4.929071e-02 3.618269e-03
231 4.905165e-02 3.599792e-03
232 4.881377e-02 3.581437e-03
233 4.857706e-02 3.563201e-03
234 4.834152e-02 3.545084e-03
235 4.810715e-02 3.527083e-03
236 4.787393e-02 3.509197e-03
237 4.764187e-02 3.491425e-03
238 4.741094e-02 3.473766e-03
239 4.718116e-02 3.456218e-03
240 4.695250e-02 3.438779e-03
241 4.672497e-02 3.421449e-03
242 4.649855e-02 3.404227e-03
243 4.627325e-02 3.387110e-03
244 4.604906e-02 3.370098e-03
245 4.582596e-02 3.353190e-03
246 4.560396e-02 3.336385e-03
247 4.538305e-02 3.319681e-03
248 4.516322e-02 3.303077e-03
249 4.494446e-02 3.286572e-03
250 4.472678e-02 3.270166e-03
251 4.451016e-02 3.253857e-03
252 4.429460e-02 3.237644e-03
253 4.408010e-02 3.221526e-03
254 4.386664e-02 3.205503e-03
255 4.365422e-02 3.189572e-03
256 4.344284e-02 3.173734e-03
257 4.323250e-02 3.157988e-03
258 4.302318e-02 3.142332e-03
259 4.281488e-02 3.126765e-03
260 4.260759e-02 3.111287e-03
261 4.240132e-02 3.095898e-03
262 4.219605e-02 3.080595e-03
263 4.199177e-02 3.065379e-03
264 4.178850e-02 3.050248e-03
265 4.158621e-02 3.035202e-03
266 4.138491e-02 3.020240e-03
267 4.118458e-02 3.005361e-03
268 4.098523e-02 2.990565e-03
269 4.078685e-02 2.975851e-03
270 4.058943e-02 2.961217e-03
271 4.039297e-02 2.946664e-03
272 4.019746e-02 2.932190e-03
273 4.000290e-02 2.917796e-03
274 3.980929e-02 2.903480e-03
275 3.961662e-02 2.889242e-03
